Date,Close/Last,Open,High,Low,LastClose,DailyRise,DailyRiseRate,DailyReturn,TotalReturn,DailyRippleRange,DailyRippleRadio,DailyK,MA5,MA15,MA30,EWMA,MACD,K,D,J,rs,rsi,MAD
2020-04-20,5076.43,5084.48,5163.6,5075.12,5156.76,-80.32999999999993,-0.015577610747833896,,-0.1174756657052903,88.48000000000047,1.017434070524441,0.017158060487593076,5081.719999999996,4808.724666666667,4609.143333333336,5053.945057815739,165.74645483823429,86.67253711160656,86.89125443207045,86.23510247067875,1.2893128614550422,56.318770717759406,37.72000000000007
2020-04-17,5156.76,5179.81,5181.43,5095.13,5086.88,69.88000000000011,0.013737300663668125,1.0158241126145735,-0.10351050125430922,86.30000000000018,1.016937742510986,0.016965212468153402,5045.003999999995,4770.476,4609.476333333337,5042.702586723609,186.9922510155996,92.24086531326255,87.0006130923024,102.72136975518285,1.4163812500087423,58.61580203883877,81.77919999999976
2020-04-16,5086.88,5057.26,5101.79,4998.42,4992.71,94.17000000000007,0.018861500067097844,1.0020585332605787,-0.11565896000987452,103.36999999999989,1.0206805350490755,0.020704186704214724,4988.059999999995,4741.817333333334,4610.83166666667,4985.673880085414,189.57486156521136,90.31121813935589,84.38048698182233,102.17268045442299,1.3367708779919283,57.205902837194884,84.492
2020-04-15,4992.71,4990.65,5027.39,4940.91,5095.82,-103.10999999999967,-0.020234231193409436,0.9835080952559179,-0.13203017296081304,86.48000000000047,1.0175028486655293,0.016970772123034265,4951.767999999995,4698.792666666666,4620.186333333336,4935.0708201281195,193.43339762099936,86.44403868963347,81.41512140305555,96.5018732627893,1.2371513122806033,55.300296653578734,73.9975999999997
2020-04-14,5095.82,5001.91,5101.82,4997.67,4892.85,202.96999999999935,0.04148298026712434,1.0038196133897244,-0.11410476394126048,104.14999999999964,1.0208397113054684,0.02128616246155096,4904.815999999995,4664.534,4625.062333333336,4906.251230192179,204.6405913063009,86.79836291090463,78.9006627597666,102.59376321318067,1.3765791043584976,57.92271344277737,76.64320000000006
2020-04-13,4892.85,4840.43,4897.41,4807.26,4872.04,20.8100000000004,0.004271311401384308,0.9638367908155927,-0.14939057781671955,90.14999999999964,1.0187528862595323,0.01850354266385326,4842.283999999995,4597.576666666666,4632.335333333336,4811.466845288268,187.16491763817845,80.58975249813888,74.9518126841976,91.86563212602144,1.1705764048692988,53.92928819475419,57.383200000000215
2020-04-09,4872.04,4953.86,4993.33,4836.12,4905.42,-33.38000000000011,-0.006804718046568919,0.9597374532890238,-0.15300834293840412,157.21000000000004,1.0325074646617536,0.0320482242091401,4739.493999999996,4540.104666666666,4640.417333333336,4770.775267932401,188.46180045862928,78.53838173695556,72.13284277722697,91.34945965641273,1.150964108086236,53.50921959875361,144.23759999999965
2020-04-08,4905.42,4817.59,4920.74,4767.18,4757.95,147.47000000000025,0.030994440883153514,0.9663129403931501,-0.14720531555917157,153.5599999999995,1.0322119156398541,0.03227440389243256,4656.887999999996,4493.854666666666,4647.281666666669,4720.142901898603,183.18717699591883,77.04646293312487,68.93007329736268,93.27924220464925,1.1855975224083573,54.24592177895231,190.34639999999982
2020-04-07,4757.95,4929.57,4929.74,4752.23,4783.16,-25.210000000000036,-0.005270574264712039,0.9372629978153936,-0.17284259679390565,177.51000000000022,1.0373529900699252,0.03711144933474946,4551.553999999996,4438.333333333333,4661.279000000001,4627.504352847905,157.5194253818001,67.62090724675721,64.8718784794816,73.11896478130845,1.062154600708364,51.507030575860156,175.2008
2020-04-06,4783.16,4578.61,4800.69,4548.84,4378.9,404.2600000000002,0.09231998903834301,0.942229086188522,-0.16845990295836183,251.84999999999945,1.0553657635792861,0.05751444426682488,4521.305999999996,4412.711333333334,4680.042000000001,4562.281529271858,138.955893722923,65.92058188157269,63.49736409584377,70.76701745303053,1.0833837699587685,52.00116203171772,138.9031999999999
2020-04-03,4378.9,4447.49,4484.88,4337.4,4459.01,-80.11000000000058,-0.01796587134812449,0.862594382272581,-0.23873946701853394,147.48000000000047,1.0340019366440727,0.03307460624667818,4502.169999999996,4363.389999999999,4703.3036666666685,4451.842293907787,98.68827900549138,50.77081826945562,62.28575520297932,27.740944402408218,0.7857730931445026,44.00184414028008,115.93999999999997
2020-04-02,4459.01,4336.92,4482.24,4336.92,4378.75,80.26000000000022,0.01832943191550105,0.8783751573448267,-0.2248125490032457,145.3199999999997,1.0335076505907417,0.03318755352554946,4526.929999999997,4382.1686666666665,4748.112666666669,4488.313440861682,115.12162643454468,68.59797884574736,68.04322366974117,69.70748919775974,0.8312977176504238,45.393914361286285,96.13199999999998
2020-04-01,4378.75,4434.91,4539.87,4341.62,4606.71,-227.96000000000004,-0.04948433914876344,0.8625648339482666,-0.2387655441337791,198.25,1.0456626789078731,0.043035051045105945,4580.503999999996,4366.866,4795.240333333335,4502.965161292522,122.36787724507622,70.65283610381796,67.76584608173808,76.42681614797775,0.7773991828570049,43.738018468502254,111.8232
2020-03-31,4606.71,4667.55,4741.03,4579.06,4687.48,-80.76999999999953,-0.017231006852295803,0.9074704073531988,-0.19913528285846907,161.96999999999935,1.0353718885535457,0.034553747429322226,4593.055999999997,4387.9113333333335,4847.7693333333345,4565.072741938783,147.4262706607609,78.78825989764293,66.32235107069813,103.72007755153251,0.9062197793327279,47.54015193620276,96.76080000000002
2020-03-30,4687.48,4556.37,4696.5,4534.72,4502.7,184.77999999999975,0.04103759966242471,0.9233811950524282,-0.18509362553610212,161.77999999999975,1.035675852092301,0.03592955337908361,4567.479999999998,4409.336666666666,4889.7856666666685,4544.254112908175,136.4875091553348,76.63912400582774,60.089396657225734,109.73857870303175,0.9584748830104844,48.93986087465965,111.76000000000003
2020-03-27,4502.7,4562.49,4641.59,4495.42,4726.88,-224.1800000000003,-0.04742663236638127,0.8869815992735048,-0.21721715456949295,146.17000000000007,1.032515315587865,0.03092314592289207,4448.275999999997,4409.562,4930.458666666669,4472.641169362262,99.54113333590283,67.74733098930142,51.81453298292473,99.61292700205479,0.8359807259887964,45.53319728008396,145.43279999999996
2020-03-26,4726.88,4500.0,4733.67,4500.0,4441.51,285.3699999999999,0.06425067150586172,0.931142554905711,-0.178244036598362,233.67000000000007,1.0519266666666667,0.052610486073429996,4353.889999999998,4448.4766666666665,4977.3510000000015,4457.611754043394,78.76280614458926,65.56542885372681,43.84813397973638,109.00001860170768,0.9698129056396785,49.233757320964486,234.21999999999997
2020-03-25,4441.51,4479.19,4639.44,4370.55,4478.83,-37.31999999999971,-0.008332533273198515,0.8749278528414651,-0.22785487911518607,268.8899999999994,1.0615231492603905,0.0600357682698382,4244.171999999997,4479.846,5016.971666666668,4322.9776310650905,2.600529841723528,48.758078318866914,32.98948654274117,80.2952618711184,0.7805824419654968,43.83860154792105,172.79840000000013
2020-03-24,4478.83,4332.85,4479.13,4314.41,4091.46,387.3699999999999,0.09467769451491641,0.8822794759309197,-0.22136689284217959,164.72000000000025,1.0381790325907831,0.04025946728062849,4170.389999999998,4541.58,5063.839000000002,4263.711446597636,-51.50506468508149,37.66870039586582,25.105190654678296,62.795719878240874,0.7989416850098292,44.41176118532513,126.53599999999987
