Date,Close/Last,Open,High,Low
2020-09-14,2.31,2.306,2.399,2.2840000000000003
2020-09-11,2.269,2.314,2.335,2.246
2020-09-10,2.323,2.382,2.365,2.305
2020-09-09,2.406,2.367,2.48,2.3280000000000003
2020-09-08,2.4,2.5860000000000003,2.5860000000000003,2.356
2020-09-04,2.588,2.483,2.605,2.431
2020-09-03,2.487,2.489,2.567,2.455
2020-09-02,2.486,2.516,2.5780000000000003,2.415
2020-09-01,2.527,2.628,2.675,2.504
2020-08-31,2.63,2.629,2.653,2.497
2020-08-28,2.657,2.71,2.7430000000000003,2.6210000000000004
2020-08-27,2.71,2.527,2.715,2.491
2020-08-26,2.461,2.48,2.557,2.398
2020-08-25,2.489,2.514,2.552,2.451
2020-08-24,2.513,2.46,2.5540000000000003,2.39
2020-08-21,2.448,2.355,2.468,2.28
2020-08-20,2.352,2.43,2.44,2.345
2020-08-19,2.426,2.417,2.455,2.375
2020-08-18,2.417,2.344,2.465,2.306
2020-08-17,2.339,2.392,2.396,2.302
2020-08-14,2.356,2.191,2.379,2.171
2020-08-13,2.182,2.151,2.205,2.139
2020-08-12,2.152,2.149,2.165,2.085
2020-08-11,2.171,2.165,2.231,2.135
2020-08-10,2.153,2.257,2.275,2.1180000000000003
2020-08-07,2.238,2.153,2.256,2.14
2020-08-06,2.165,2.206,2.2840000000000003,2.136
2020-08-05,2.191,2.178,2.261,2.1630000000000003
2020-08-04,2.193,2.097,2.198,2.056
2020-08-03,2.101,1.859,2.154,1.852
2020-07-31,1.7990000000000002,1.835,1.862,1.781
2020-07-30,1.829,1.921,1.928,1.818
2020-07-29,1.854,1.796,1.893,1.769
2020-07-28,1.8,1.731,1.803,1.719
2020-07-27,1.734,1.796,1.8,1.714
2020-07-24,1.808,1.784,1.818,1.746
2020-07-23,1.785,1.694,1.805,1.6769999999999998
2020-07-22,1.681,1.669,1.6980000000000002,1.622
2020-07-21,1.675,1.644,1.681,1.622
2020-07-20,1.641,1.7,1.707,1.605
2020-07-17,1.7180000000000002,1.726,1.75,1.69
2020-07-16,1.723,1.783,1.808,1.703
2020-07-15,1.778,1.743,1.7919999999999998,1.7280000000000002
2020-07-14,1.746,1.729,1.753,1.735
2020-07-13,1.739,1.785,1.815,1.725
2020-07-10,1.805,1.776,1.835,1.737
2020-07-09,1.779,1.82,1.891,1.7719999999999998
2020-07-08,1.824,1.879,1.886,1.808
2020-07-07,1.876,1.829,1.924,1.829
2020-07-06,1.83,1.7380000000000002,1.864,1.733
2020-07-02,1.75,1.7280000000000002,1.75,1.714
2020-07-01,1.671,1.754,1.758,1.655
2020-06-30,1.751,1.722,1.761,1.712
2020-06-29,1.709,1.567,1.753,1.558
2020-06-26,1.495,1.4409999999999998,1.567,1.432
2020-06-25,1.482,1.595,1.598,1.44
2020-06-24,1.597,1.6269999999999998,1.656,1.585
2020-06-23,1.6369999999999998,1.66,1.663,1.614
2020-06-22,1.664,1.671,1.712,1.643
2020-06-19,1.669,1.6369999999999998,1.6840000000000002,1.63
2020-06-18,1.638,1.638,1.661,1.611
2020-06-17,1.638,1.6130000000000002,1.648,1.602
2020-06-16,1.614,1.673,1.685,1.597
2020-06-15,1.669,1.753,1.761,1.661
2020-06-12,1.731,1.817,1.822,1.727
2020-06-11,1.813,1.787,1.833,1.766
2020-06-10,1.78,1.763,1.808,1.6740000000000002
2020-06-09,1.767,1.809,1.829,1.756
2020-06-08,1.789,1.81,1.816,1.75
2020-06-05,1.7819999999999998,1.821,1.864,1.777
2020-06-04,1.822,1.809,1.854,1.795
2020-06-03,1.821,1.774,1.861,1.771
2020-06-02,1.777,1.78,1.801,1.758
2020-06-01,1.774,1.83,1.848,1.742
2020-05-29,1.849,1.819,1.865,1.763
2020-05-28,1.827,1.878,1.896,1.811
2020-05-27,1.722,1.774,1.815,1.711
2020-05-26,1.793,1.71,1.809,1.692
2020-05-22,1.731,1.726,1.76,1.68
2020-05-21,1.71,1.778,1.785,1.692
2020-05-20,1.771,1.804,1.889,1.743
2020-05-19,1.83,1.769,1.857,1.763
2020-05-18,1.783,1.725,1.851,1.702
2020-05-15,1.646,1.675,1.732,1.634
2020-05-14,1.681,1.643,1.715,1.61
2020-05-13,1.616,1.695,1.741,1.595
2020-05-12,1.72,1.847,1.849,1.685
2020-05-11,1.826,1.838,1.89,1.803
2020-05-08,1.823,1.901,1.927,1.811
2020-05-07,1.894,1.956,1.989,1.886
2020-05-06,1.944,2.087,2.111,1.929
2020-05-05,2.134,1.991,2.162,1.981
2020-05-04,1.993,1.961,2.006,1.935
2020-05-01,1.89,1.936,2.016,1.872
2020-04-30,1.949,1.878,1.953,1.825
2020-04-29,1.869,1.949,1.973,1.86
2020-04-28,1.794,1.831,1.923,1.702
2020-04-27,1.819,1.7009999999999998,1.85,1.5930000000000002
2020-04-24,1.746,1.818,1.839,1.702
2020-04-23,1.815,1.91,1.953,1.806
2020-04-22,1.939,1.836,1.952,1.774
2020-04-21,1.821,1.943,1.974,1.779
2020-04-20,1.924,1.774,1.97,1.7009999999999998
2020-04-17,1.753,1.689,1.806,1.661
2020-04-16,1.686,1.591,1.719,1.555
2020-04-15,1.598,1.639,1.666,1.586
2020-04-14,1.65,1.725,1.737,1.633
2020-04-13,1.724,1.7519999999999998,1.813,1.6980000000000002
2020-04-09,1.733,1.791,1.825,1.721
2020-04-08,1.783,1.905,1.918,1.771
2020-04-07,1.852,1.759,1.912,1.747
2020-04-06,1.731,1.65,1.755,1.63
2020-04-03,1.621,1.551,1.659,1.53
2020-04-02,1.5519999999999998,1.591,1.624,1.521
2020-04-01,1.587,1.643,1.679,1.58
2020-03-31,1.64,1.702,1.731,1.636
2020-03-30,1.69,1.63,1.7080000000000002,1.6130000000000002
2020-03-27,1.634,1.64,1.65,1.597
2020-03-26,1.6369999999999998,1.6569999999999998,1.68,1.612
2020-03-25,1.659,1.673,1.716,1.638
2020-03-24,1.653,1.59,1.6869999999999998,1.586
2020-03-23,1.602,1.533,1.628,1.519
2020-03-20,1.604,1.6469999999999998,1.7,1.574
2020-03-19,1.654,1.632,1.683,1.602
2020-03-18,1.604,1.721,1.7280000000000002,1.555
2020-03-17,1.729,1.797,1.82,1.711
2020-03-16,1.815,1.854,1.854,1.778
2020-03-13,1.869,1.81,1.951,1.795
2020-03-12,1.841,1.883,1.883,1.75
2020-03-11,1.878,1.938,1.998,1.86
2020-03-10,1.936,1.835,1.955,1.794
2020-03-09,1.778,1.6780000000000002,1.83,1.61
2020-03-06,1.7080000000000002,1.767,1.767,1.705
2020-03-05,1.7719999999999998,1.829,1.847,1.756
2020-03-04,1.827,1.805,1.845,1.785
2020-03-03,1.8,1.763,1.839,1.756
2020-03-02,1.756,1.695,1.765,1.68
2020-02-28,1.6840000000000002,1.7480000000000002,1.75,1.642
2020-02-27,1.7519999999999998,1.796,1.804,1.719
2020-02-26,1.821,1.848,1.88,1.81
2020-02-25,1.847,1.836,1.862,1.819
2020-02-24,1.827,1.884,1.842,1.824
2020-02-21,1.905,1.915,1.925,1.861
2020-02-20,1.92,1.967,2.025,1.907
2020-02-19,1.955,1.969,1.978,1.945
2020-02-18,1.981,1.937,1.983,1.874
2020-02-14,1.837,1.828,1.854,1.795
2020-02-13,1.826,1.846,1.869,1.823
2020-02-12,1.844,1.79,1.855,1.789
2020-02-11,1.788,1.768,1.8,1.753
2020-02-10,1.766,1.813,1.813,1.759
2020-02-07,1.858,1.863,1.898,1.842
2020-02-06,1.862,1.865,1.906,1.832
2020-02-05,1.861,1.876,1.884,1.825
2020-02-04,1.872,1.823,1.888,1.804
2020-02-03,1.819,1.852,1.88,1.814
2020-01-31,1.841,1.832,1.856,1.812
2020-01-30,1.829,1.879,1.886,1.815
2020-01-29,1.877,1.927,1.938,1.858
2020-01-28,1.934,1.902,1.952,1.883
2020-01-27,1.902,1.935,1.976,1.888
2020-01-24,1.893,1.938,1.945,1.872
2020-01-23,1.926,1.915,1.98,1.913
2020-01-22,1.905,1.912,1.942,1.895
2020-01-21,1.895,1.934,1.97,1.83
2020-01-17,2.003,2.077,2.0780000000000003,1.994
2020-01-16,2.077,2.134,2.17,2.071
2020-01-15,2.12,2.181,2.189,2.104
2020-01-14,2.187,2.188,2.255,2.173
2020-01-13,2.182,2.21,2.226,2.1630000000000003
2020-01-10,2.202,2.166,2.234,2.137
2020-01-09,2.166,2.151,2.17,2.105
2020-01-08,2.141,2.153,2.185,2.115
2020-01-07,2.162,2.149,2.178,2.102
2020-01-06,2.135,2.112,2.173,2.099
2020-01-03,2.13,2.129,2.1630000000000003,2.083
2020-01-02,2.122,2.184,2.188,2.116
2019-12-31,2.189,2.191,2.207,2.151
2019-12-30,2.186,2.247,2.258,2.182
2019-12-27,2.231,2.273,2.275,2.167
2019-12-26,2.294,2.184,2.297,2.184
2019-12-24,2.172,2.202,2.2230000000000003,2.162
2019-12-23,2.214,2.254,2.269,2.192
2019-12-20,2.3280000000000003,2.289,2.345,2.279
2019-12-19,2.273,2.282,2.302,2.232
2019-12-18,2.286,2.318,2.327,2.257
2019-12-17,2.319,2.349,2.362,2.282
2019-12-16,2.341,2.296,2.377,2.285
2019-12-13,2.296,2.341,2.342,2.253
2019-12-12,2.3280000000000003,2.329,2.347,2.325
2019-12-11,2.2430000000000003,2.265,2.303,2.24
2019-12-10,2.264,2.253,2.289,2.216
2019-12-09,2.232,2.21,2.258,2.158
2019-12-06,2.334,2.417,2.437,2.3280000000000003
2019-12-05,2.427,2.406,2.463,2.396
2019-12-04,2.399,2.439,2.463,2.3680000000000003
2019-12-03,2.441,2.345,2.51,2.34
2019-12-02,2.329,2.315,2.369,2.289
2019-11-29,2.281,2.472,2.513,2.27
2019-11-27,2.501,2.529,2.5580000000000003,2.488
2019-11-26,2.47,2.52,2.532,2.421
2019-11-25,2.531,2.689,2.709,2.51
2019-11-22,2.665,2.585,2.675,2.557
2019-11-21,2.567,2.5660000000000003,2.595,2.526
2019-11-20,2.559,2.514,2.5810000000000004,2.505
2019-11-19,2.51,2.547,2.56,2.501
2019-11-18,2.5660000000000003,2.641,2.65,2.533
2019-11-15,2.688,2.636,2.724,2.6060000000000003
2019-11-14,2.647,2.674,2.696,2.625
2019-11-13,2.6,2.622,2.68,2.584
2019-11-12,2.6210000000000004,2.637,2.685,2.607
2019-11-11,2.637,2.716,2.716,2.6180000000000003
2019-11-08,2.789,2.792,2.822,2.755
2019-11-07,2.772,2.823,2.882,2.753
2019-11-06,2.8280000000000003,2.863,2.866,2.82
2019-11-05,2.862,2.822,2.905,2.817
2019-11-04,2.821,2.7960000000000003,2.842,2.781
2019-11-01,2.714,2.637,2.718,2.575
2019-10-31,2.633,2.6860000000000004,2.738,2.6060000000000003
2019-10-30,2.6910000000000003,2.628,2.7230000000000003,2.616
2019-10-29,2.597,2.459,2.64,2.449
2019-10-28,2.446,2.366,2.47,2.346
2019-10-25,2.3,2.331,2.336,2.273
2019-10-24,2.316,2.285,2.342,2.269
2019-10-23,2.282,2.274,2.305,2.251
2019-10-22,2.272,2.236,2.311,2.231
2019-10-21,2.238,2.32,2.322,2.213
2019-10-18,2.32,2.319,2.36,2.289
2019-10-17,2.318,2.292,2.365,2.2840000000000003
2019-10-16,2.303,2.342,2.384,2.277
2019-10-15,2.339,2.285,2.349,2.266
2019-10-14,2.28,2.238,2.313,2.228
2019-10-11,2.214,2.2030000000000003,2.262,2.187
2019-10-10,2.218,2.239,2.274,2.202
2019-10-09,2.234,2.2880000000000003,2.306,2.229
2019-10-08,2.2880000000000003,2.293,2.323,2.266
2019-10-07,2.303,2.333,2.342,2.287
2019-10-04,2.352,2.336,2.398,2.263
2019-10-03,2.329,2.254,2.349,2.207
2019-10-02,2.247,2.287,2.3040000000000003,2.245
2019-10-01,2.283,2.325,2.334,2.268
2019-09-30,2.33,2.38,2.392,2.324
2019-09-27,2.404,2.449,2.451,2.38
2019-09-26,2.428,2.514,2.54,2.39
2019-09-25,2.502,2.497,2.519,2.455
2019-09-24,2.503,2.535,2.59,2.494
2019-09-23,2.527,2.522,2.547,2.4930000000000003
2019-09-20,2.5340000000000003,2.552,2.579,2.506
2019-09-19,2.5380000000000003,2.639,2.639,2.53
2019-09-18,2.637,2.6630000000000003,2.696,2.603
2019-09-17,2.668,2.6860000000000004,2.71,2.628
2019-09-16,2.681,2.688,2.7,2.641
