Date,Close/Last,Open,High,Low
2020-09-14,357.5,366.75,366.75,359.0
2020-09-11,365.0,355.5,366.0,355.5
2020-09-10,357.25,349.75,357.75,349.75
2020-09-09,350.0,349.75,351.25,348.5
2020-09-08,351.0,348.0,353.0,346.0
2020-09-04,347.25,345.75,347.75,343.5
2020-09-03,344.5,349.75,350.0,343.75
2020-09-02,349.75,349.25,350.5,345.25
2020-09-01,349.5,347.75,350.0,343.25
2020-08-31,348.5,348.75,353.0,346.0
2020-08-28,346.0,343.25,347.75,340.75
2020-08-27,344.25,340.0,344.75,339.0
2020-08-26,340.5,340.25,341.25,337.25
2020-08-25,340.75,335.0,341.5,334.75
2020-08-24,331.75,328.0,332.5,327.5
2020-08-21,327.0,324.75,327.75,324.25
2020-08-20,324.5,324.25,325.75,320.75
2020-08-19,325.0,326.0,327.25,323.5
2020-08-18,327.0,330.0,332.0,325.75
2020-08-17,331.0,327.0,331.0,326.5
2020-08-14,324.5,324.5,325.25,321.5
2020-08-13,325.25,315.0,327.5,314.75
2020-08-12,314.5,311.25,315.0,308.0
2020-08-11,311.5,311.25,315.0,310.25
2020-08-10,310.5,307.5,311.75,307.5
2020-08-07,307.75,311.0,311.75,307.25
2020-08-06,311.25,310.5,312.75,309.5
2020-08-05,311.0,309.0,311.25,309.0
2020-08-04,308.25,316.5,316.75,308.25
2020-08-03,317.5,315.0,318.25,315.0
2020-07-31,316.0,315.75,317.5,314.5
2020-07-30,315.75,315.5,319.25,315.25
2020-07-29,315.5,320.0,321.5,315.25
2020-07-28,320.0,323.0,323.5,320.0
2020-07-27,325.0,325.0,327.5,323.25
2020-07-24,326.25,328.0,329.75,325.5
2020-07-23,328.0,327.25,329.5,325.0
2020-07-22,327.5,323.0,328.0,322.25
2020-07-21,322.75,327.75,327.75,322.0
2020-07-20,328.25,333.0,333.5,326.0
2020-07-17,333.0,330.25,334.75,330.25
2020-07-16,330.25,326.0,333.25,326.0
2020-07-15,326.25,326.0,328.75,322.75
2020-07-14,334.75,334.0,336.5,324.5
2020-07-13,334.0,335.25,337.25,332.0
2020-07-10,340.5,350.25,352.0,340.0
2020-07-09,351.25,349.0,356.5,348.25
2020-07-08,348.25,343.5,348.5,341.0
2020-07-07,345.0,347.5,347.5,341.75
2020-07-06,346.5,348.5,349.0,345.25
2020-07-02,342.5,347.5,350.25,342.25
2020-07-01,348.25,338.5,351.25,337.5
2020-06-30,338.5,325.25,342.0,323.75
2020-06-29,326.25,323.0,326.5,322.75
2020-06-26,317.0,319.0,319.75,313.5
2020-06-25,317.25,323.5,324.25,315.0
2020-06-24,324.25,324.5,329.0,323.75
2020-06-23,325.0,327.5,327.5,321.25
2020-06-22,328.25,332.0,332.25,328.0
2020-06-19,332.5,329.75,333.75,327.5
2020-06-18,331.0,329.75,333.75,328.75
2020-06-17,330.25,328.0,331.25,325.0
2020-06-16,329.0,331.75,334.5,328.0
2020-06-15,329.25,329.25,330.0,325.5
2020-06-12,330.0,329.5,333.0,328.25
2020-06-11,329.75,326.0,331.0,325.25
2020-06-10,326.25,327.25,328.0,324.25
2020-06-09,327.5,332.25,334.0,326.75
2020-06-08,333.75,333.5,334.75,331.0
2020-06-05,331.25,328.75,332.5,328.25
2020-06-04,329.0,324.25,329.5,324.0
2020-06-03,324.0,324.25,324.5,321.25
2020-06-02,324.25,323.5,325.25,322.0
2020-06-01,323.25,325.5,327.75,319.25
2020-05-29,325.75,327.5,329.5,323.25
2020-05-28,327.5,320.25,330.75,319.5
2020-05-27,320.5,320.0,321.75,319.25
2020-05-26,319.0,316.75,323.0,316.5
2020-05-22,318.0,317.75,319.0,316.0
2020-05-21,317.75,319.0,320.25,316.25
2020-05-20,319.5,321.25,321.5,317.25
2020-05-19,321.25,320.75,325.5,320.5
2020-05-18,320.75,320.0,322.0,318.0
2020-05-15,319.25,317.75,320.5,316.75
2020-05-14,321.25,321.25,321.25,321.25
2020-05-13,320.25,323.5,323.5,320.0
2020-05-12,323.75,318.75,324.5,312.75
2020-05-11,318.5,320.0,322.25,318.0
2020-05-08,319.0,317.75,321.75,317.5
2020-05-07,316.0,313.5,318.0,313.25
2020-05-06,311.75,315.0,315.0,311.0
2020-05-05,313.0,310.5,314.75,310.5
2020-05-04,310.75,309.5,310.0,305.5
2020-05-01,310.75,311.0,311.5,308.0
2020-04-30,311.5,305.25,313.0,303.5
2020-04-29,304.5,302.75,308.75,300.25
2020-04-28,302.75,305.0,308.5,301.25
2020-04-27,305.5,315.0,315.75,304.25
2020-04-24,315.75,319.25,320.75,312.0
2020-04-23,319.25,317.0,323.5,315.0
2020-04-22,317.5,310.0,320.25,308.25
2020-04-21,309.25,314.25,316.25,301.0
2020-04-20,314.25,322.5,323.25,313.5
2020-04-17,322.25,319.75,325.5,319.5
2020-04-16,319.75,318.75,323.0,317.75
2020-04-15,319.25,326.0,326.75,317.5
2020-04-14,326.0,331.25,332.0,325.75
2020-04-13,331.5,332.25,334.0,326.5
2020-04-09,331.75,330.75,333.5,328.0
2020-04-08,330.0,332.0,334.0,328.25
2020-04-07,331.5,328.0,335.5,328.0
2020-04-06,327.75,329.75,331.75,325.5
2020-04-03,330.75,334.5,338.5,328.0
2020-04-02,333.5,335.0,343.25,333.0
2020-04-01,334.75,341.25,342.75,333.5
2020-03-31,340.75,341.75,344.75,333.5
2020-03-30,341.25,343.0,346.75,340.0
2020-03-27,346.0,348.5,350.0,342.5
2020-03-26,348.75,348.25,349.25,343.75
2020-03-25,348.5,347.5,352.75,345.75
2020-03-24,347.25,343.5,350.5,338.0
2020-03-23,343.5,340.25,345.5,338.25
2020-03-20,343.75,346.5,356.75,342.25
2020-03-19,345.5,336.5,354.75,336.5
2020-03-18,335.25,344.0,345.25,332.0
2020-03-17,344.0,355.25,356.75,342.75
2020-03-16,354.75,362.5,367.75,354.0
2020-03-13,370.75,370.0,375.5,370.0
2020-03-12,369.75,377.5,377.5,367.0
2020-03-11,379.25,380.25,380.5,377.0
2020-03-10,380.0,379.0,381.5,377.5
2020-03-09,374.25,372.0,377.5,368.5
2020-03-06,377.25,383.75,385.5,377.0
2020-03-05,384.5,385.5,385.75,382.0
2020-03-04,387.0,382.0,388.5,380.0
2020-03-03,381.75,375.75,383.75,375.75
2020-03-02,374.75,370.75,375.75,372.5
2020-02-28,366.5,364.5,367.25,362.75
2020-02-27,364.5,368.75,370.0,361.75
2020-02-26,370.5,372.0,374.0,368.25
2020-02-25,372.5,373.0,374.75,371.25
