Date,Close/Last,Open,High,Low
2020-09-14,999.5,996.0,1008.75,996.0
2020-09-11,996.0,977.0,998.0,975.0
2020-09-10,977.5,978.75,982.0,974.25
2020-09-09,978.75,972.0,981.75,968.5
2020-09-08,973.0,970.0,977.0,961.75
2020-09-04,968.0,967.25,969.0,964.75
2020-09-03,966.0,962.0,968.25,957.75
2020-09-02,962.0,953.0,963.0,946.0
2020-09-01,954.75,951.5,959.5,942.75
2020-08-31,953.5,955.5,966.75,952.25
2020-08-28,950.5,942.0,952.0,940.25
2020-08-27,942.0,924.5,948.75,923.75
2020-08-26,924.25,920.0,925.75,919.5
2020-08-25,920.25,911.5,920.75,911.0
2020-08-24,905.75,905.0,912.25,901.0
2020-08-21,904.75,906.75,910.75,903.25
2020-08-20,905.25,913.0,915.75,902.5
2020-08-19,914.0,912.5,919.5,910.0
2020-08-18,913.75,914.75,917.0,910.0
2020-08-17,915.25,901.25,917.5,901.25
2020-08-14,898.75,898.0,899.5,894.0
2020-08-13,899.5,883.0,902.5,883.0
2020-08-12,883.0,873.25,883.5,867.0
2020-08-11,873.5,872.25,877.0,870.25
2020-08-10,873.25,867.5,875.75,865.25
2020-08-07,867.5,878.75,879.5,866.75
2020-08-06,878.0,878.0,884.0,875.5
2020-08-05,878.75,883.0,884.75,876.25
2020-08-04,881.75,893.0,895.25,879.25
2020-08-03,896.25,892.5,899.75,891.25
2020-07-31,892.5,888.75,894.75,888.75
2020-07-30,888.25,885.0,890.0,880.75
2020-07-29,885.25,887.5,889.25,883.5
2020-07-28,887.5,896.5,896.5,883.0
2020-07-27,899.75,898.25,903.75,895.0
2020-07-24,899.25,900.0,903.75,894.75
2020-07-23,900.0,895.0,901.0,893.5
2020-07-22,895.5,893.0,898.0,888.25
2020-07-21,893.0,899.25,899.25,890.5
2020-07-20,900.0,895.75,902.0,893.75
2020-07-17,895.0,891.0,896.25,890.75
2020-07-16,891.0,883.5,893.5,883.0
2020-07-15,882.75,878.75,884.0,876.5
2020-07-14,877.5,876.25,882.75,873.75
2020-07-13,875.25,885.0,886.75,871.5
2020-07-10,890.75,901.5,904.75,887.5
2020-07-09,901.5,898.75,909.5,896.5
2020-07-08,897.25,902.0,902.25,895.0
2020-07-07,902.5,906.75,909.25,900.25
2020-07-06,906.25,903.0,912.5,902.5
2020-07-02,896.75,898.25,903.0,895.5
2020-07-01,899.0,882.0,902.0,881.0
2020-06-30,882.25,861.0,887.0,859.5
2020-06-29,861.5,859.25,865.0,857.0
2020-06-26,861.25,864.0,865.0,859.5
2020-06-25,868.25,870.0,870.5,860.0
2020-06-24,870.0,874.25,876.75,868.5
2020-06-23,874.0,879.25,880.25,865.0
2020-06-22,879.25,880.75,881.5,877.0
2020-06-19,880.75,876.0,884.25,874.0
2020-06-18,876.0,877.0,880.25,875.0
2020-06-17,876.5,872.75,879.5,866.0
2020-06-16,873.0,877.5,879.75,872.25
2020-06-15,876.0,879.0,880.0,871.25
2020-06-12,879.75,876.75,884.5,874.5
2020-06-11,876.75,876.5,879.75,872.75
2020-06-10,865.5,863.25,869.25,863.0
2020-06-09,863.25,864.0,866.5,856.5
2020-06-08,864.75,869.25,871.5,861.75
2020-06-05,868.25,868.0,873.5,865.25
2020-06-04,867.75,857.0,873.25,855.5
2020-06-03,857.5,851.75,858.0,851.25
2020-06-02,850.5,840.0,856.0,838.5
2020-06-01,840.5,843.5,849.0,834.0
2020-05-29,840.75,846.0,846.0,837.0
2020-05-28,847.0,848.5,852.25,838.75
2020-05-27,855.5,855.0,859.0,851.75
2020-05-26,847.0,832.5,849.0,832.25
2020-05-22,833.25,835.25,839.5,828.5
2020-05-21,835.0,846.75,848.5,833.75
2020-05-20,846.75,842.0,849.5,842.0
2020-05-19,842.5,846.0,848.5,839.25
2020-05-18,845.0,840.5,847.75,838.75
2020-05-15,838.5,838.0,843.0,836.5
2020-05-14,837.0,839.5,844.5,835.0
2020-05-13,839.5,850.25,854.0,836.5
2020-05-12,852.0,854.0,858.0,849.5
2020-05-11,855.0,854.0,861.25,848.5
2020-05-08,850.5,844.0,856.5,843.5
2020-05-07,844.25,832.0,848.5,832.0
2020-05-06,832.5,839.5,841.75,831.5
2020-05-05,839.5,837.5,841.0,833.75
2020-05-04,836.5,833.5,837.0,833.5
2020-05-01,849.5,854.5,855.75,847.0
2020-04-30,855.25,838.75,856.0,838.25
2020-04-29,837.5,831.75,840.75,830.0
2020-04-28,832.0,837.0,842.5,829.5
2020-04-27,836.5,838.5,846.25,835.25
2020-04-24,839.5,847.5,850.75,834.0
2020-04-23,846.75,842.5,856.75,841.75
2020-04-22,842.5,841.0,848.75,836.25
2020-04-21,848.0,845.75,850.25,831.0
2020-04-20,836.25,843.5,845.75,834.25
2020-04-17,842.25,848.75,851.75,841.5
2020-04-16,845.75,851.0,857.0,845.0
2020-04-15,851.75,856.0,862.5,848.75
2020-04-14,855.5,862.5,864.5,854.25
2020-04-13,862.25,871.0,877.5,858.0
2020-04-09,863.5,855.5,867.0,853.75
2020-04-08,854.5,855.75,860.5,851.75
2020-04-07,854.75,856.0,862.25,854.25
2020-04-06,855.5,853.5,859.0,848.5
2020-04-03,854.25,859.75,864.5,850.5
2020-04-02,858.75,864.75,870.0,857.0
2020-04-01,862.75,885.75,887.25,860.75
2020-03-31,886.0,882.5,887.5,875.75
2020-03-30,882.25,880.0,892.5,876.75
2020-03-27,881.5,879.0,888.75,875.25
2020-03-26,880.25,882.5,884.5,871.25
2020-03-25,881.5,885.0,897.0,880.5
2020-03-24,886.75,884.0,887.75,872.5
2020-03-23,884.0,860.0,885.25,858.25
2020-03-20,862.5,845.75,864.75,845.5
2020-03-19,843.25,829.25,855.75,825.0
2020-03-18,825.5,824.5,838.5,822.25
2020-03-17,824.25,824.75,832.5,822.0
2020-03-16,821.75,842.0,854.75,821.0
2020-03-13,848.75,857.75,872.0,845.25
2020-03-12,859.5,872.5,872.75,852.25
2020-03-11,873.25,876.0,883.75,872.0
2020-03-10,876.25,874.5,885.0,874.5
2020-03-09,870.0,883.5,883.5,867.0
2020-03-06,891.25,898.75,899.75,888.5
2020-03-05,897.0,908.5,912.5,894.75
2020-03-04,907.25,904.25,911.0,903.5
2020-03-03,903.5,903.75,908.0,899.5
2020-03-02,901.0,901.5,904.25,900.5
2020-02-28,892.75,894.75,895.5,879.75
2020-02-27,895.0,888.75,897.0,878.25
2020-02-26,892.0,889.0,899.0,885.0
2020-02-25,888.25,883.5,889.0,881.25
2020-02-24,882.5,896.25,896.75,879.25
2020-02-21,899.0,900.25,910.25,896.25
2020-02-20,901.0,902.5,902.75,900.0
2020-02-19,897.25,892.25,898.25,885.0
2020-02-18,902.25,904.5,908.75,899.0
2020-02-14,903.25,906.0,908.25,899.5
2020-02-13,896.25,891.0,899.75,888.5
2020-02-12,892.5,885.5,893.0,881.5
2020-02-11,884.75,885.75,889.0,878.0
2020-02-10,884.25,883.0,889.75,879.5
2020-02-07,882.0,883.25,884.75,876.25
2020-02-06,881.0,880.0,886.25,876.75
2020-02-05,880.0,881.25,881.75,878.0
2020-02-04,879.5,876.25,887.0,873.75
2020-02-03,877.0,870.75,878.75,868.75
2020-01-31,872.5,873.5,875.5,872.25
2020-01-30,876.25,893.5,893.75,875.5
2020-01-29,893.0,896.0,903.0,890.75
2020-01-28,895.0,897.5,898.0,888.5
2020-01-27,897.25,899.25,900.0,888.25
2020-01-24,902.0,909.25,909.25,900.75
2020-01-23,909.5,914.0,914.75,904.0
2020-01-22,913.75,917.0,922.0,913.25
2020-01-21,916.0,930.0,931.5,915.25
2020-01-17,929.75,924.5,933.5,920.0
2020-01-16,924.0,929.75,930.25,922.0
2020-01-15,928.75,942.0,943.25,928.25
2020-01-14,941.5,941.5,948.5,938.5
2020-01-13,942.25,939.5,943.25,939.25
2020-01-10,946.0,942.75,947.0,935.5
2020-01-09,943.5,946.75,954.5,939.25
2020-01-08,947.25,942.5,950.5,938.0
2020-01-07,944.0,944.75,947.5,937.75
2020-01-06,944.75,946.25,946.25,943.75
2020-01-03,941.5,956.0,957.0,937.5
2020-01-02,956.25,956.0,961.0,953.75
2019-12-31,955.5,951.5,956.25,947.25
2019-12-30,952.5,941.5,953.0,939.5
2019-12-27,941.5,945.75,950.5,938.5
2019-12-26,946.5,946.25,949.0,945.0
2019-12-24,936.5,933.0,937.5,929.0
2019-12-23,942.25,939.0,946.75,937.5
2019-12-20,938.25,936.0,941.0,935.25
2019-12-19,936.25,939.0,941.5,933.75
2019-12-18,940.5,940.0,941.75,935.0
2019-12-17,940.75,934.75,943.25,934.0
2019-12-16,936.0,927.0,936.5,926.5
2019-12-13,921.5,919.0,922.75,916.0
2019-12-12,912.5,907.5,916.0,902.5
2019-12-11,893.5,898.75,902.0,892.0
2019-12-10,901.25,897.5,902.25,896.25
2019-12-09,897.25,891.75,903.5,889.75
2019-12-06,889.5,885.5,892.0,885.25
2019-12-05,884.25,878.0,888.75,877.25
2019-12-04,878.0,872.25,880.0,871.5
2019-12-03,871.0,873.5,875.75,868.25
2019-12-02,870.5,870.0,873.25,867.5
