Date,Close/Last,Open,High,Low
2020-09-14,3.068,3.047,3.076,3.025
2020-09-11,3.0395,2.975,3.0525,3.028
2020-09-10,2.9985,3.055,2.9745,2.9635
2020-09-09,3.0515,3.0175,3.0605,3.003
2020-09-08,3.025,3.0755,3.0885,2.998
2020-09-04,3.062,2.9785,3.0835,3.0065
2020-09-03,2.975,3.031,3.042,2.9535
2020-09-02,3.0205,3.024,3.0395,2.999
2020-09-01,3.0285,3.0505,3.0945,3.014
2020-08-31,3.0615,3.028,3.0675,3.028
2020-08-28,3.0195,3.0,3.0405,2.9960000000000004
2020-08-27,2.9905,2.99,3.012,2.9565
2020-08-26,2.9815,2.9595,2.9965,2.951
2020-08-25,2.9535,2.9435,2.963,2.9325
2020-08-24,2.9455,2.9415,2.9810000000000003,2.9345
2020-08-21,2.934,3.006,3.0165,2.924
2020-08-20,2.9915,3.013,3.016,2.9705
2020-08-19,3.0380000000000003,2.988,3.0445,2.9825
2020-08-18,2.9915,2.9265,2.998,2.9075
2020-08-17,2.9225,2.889,2.9375,2.8680000000000003
2020-08-14,2.882,2.821,2.8865,2.8155
2020-08-13,2.832,2.9,2.9130000000000003,2.7960000000000003
2020-08-12,2.912,2.8705,2.9215,2.8285
2020-08-11,2.8755,2.864,2.8795,2.839
2020-08-10,2.8615,2.786,2.885,2.782
2020-08-07,2.7925,2.918,2.9025,2.783
2020-08-06,2.9105,2.9165,2.927,2.886
2020-08-05,2.917,2.906,2.9395,2.8875
2020-08-04,2.8945,2.9145,2.9185,2.875
2020-08-03,2.912,2.8665,2.925,2.8310000000000004
2020-07-31,2.8680000000000003,2.9205,2.9315,2.8465
2020-07-30,2.914,2.934,2.9360000000000004,2.8765
2020-07-29,2.919,2.9145,2.9435,2.895
2020-07-28,2.9175,2.909,2.94,2.879
2020-07-27,2.8975,2.8925,2.92,2.882
2020-07-24,2.8925,2.9215,2.9305,2.8665
2020-07-23,2.9385,2.9265,2.954,2.899
2020-07-22,2.9245,2.9635,2.982,2.8915
2020-07-21,2.958,2.9210000000000003,2.975,2.9195
2020-07-20,2.9155,2.9065,2.944,2.8815
2020-07-17,2.9045,2.898,2.9175,2.88
2020-07-16,2.9015,2.894,2.906,2.845
2020-07-15,2.885,2.939,2.9760000000000004,2.873
2020-07-14,2.9325,2.928,2.94,2.9255
2020-07-13,2.955,2.9195,2.9930000000000003,2.8955
2020-07-10,2.8975,2.8425,2.917,2.8225
2020-07-09,2.8385,2.8285,2.8755,2.8235
2020-07-08,2.824,2.785,2.8255,2.785
2020-07-07,2.797,2.79,2.799,2.7460000000000004
2020-07-06,2.7745,2.7285,2.7925,2.7235
2020-07-02,2.7485,2.759,2.769,2.7305
2020-07-01,2.734,2.7305,2.7585,2.7065
2020-06-30,2.7285,2.721,2.7325,2.7195
2020-06-29,2.6925,2.67,2.7055,2.668
2020-06-26,2.679,2.679,2.7145,2.6705
2020-06-25,2.678,2.6565,2.684,2.639
2020-06-24,2.6575,2.6655,2.6895,2.6395
2020-06-23,2.6685,2.664,2.6785,2.6295
2020-06-22,2.6625,2.616,2.6695,2.6105
2020-06-19,2.628,2.614,2.6660000000000004,2.6105
2020-06-18,2.6105,2.6075,2.6465,2.5915
2020-06-17,2.609,2.587,2.6185,2.577
2020-06-16,2.588,2.6005,2.637,2.56
2020-06-15,2.5875,2.61,2.6165,2.557
2020-06-12,2.6185,2.593,2.6415,2.575
2020-06-11,2.602,2.688,2.6935,2.5735
2020-06-10,2.6565,2.6005,2.7,2.597
2020-06-09,2.599,2.5795,2.6060000000000003,2.5555
2020-06-08,2.5655,2.543,2.5865,2.5305
2020-06-05,2.5555,2.486,2.5715,2.481
2020-06-04,2.4895,2.4835,2.503,2.455
2020-06-03,2.4875,2.4935,2.505,2.475
2020-06-02,2.491,2.468,2.4975,2.459
2020-06-01,2.4705,2.43,2.4775,2.4235
2020-05-29,2.4265,2.407,2.447,2.407
2020-05-28,2.4135,2.3875,2.4245,2.3835
2020-05-27,2.382,2.411,2.422,2.3585
2020-05-26,2.4185,2.405,2.439,2.386
2020-05-22,2.4090000000000003,2.3925,2.4130000000000003,2.39
2020-05-21,2.432,2.4605,2.468,2.422
2020-05-20,2.4675,2.41,2.47,2.41
2020-05-19,2.418,2.4245,2.4385,2.4035
2020-05-18,2.404,2.3375,2.4285,2.334
2020-05-15,2.3335,2.356,2.356,2.332
2020-05-14,2.363,2.353,2.365,2.314
2020-05-13,2.346,2.3355,2.375,2.3325
2020-05-12,2.359,2.384,2.3865,2.3305
