Date,Close/Last,Open,High,Low
2020-09-14,74.96,74.9,76.1,74.2
2020-09-13,75.19,78.77,75.98,73.89
2020-09-12,78.63,76.56,79.34,77.47
2020-09-11,76.46,74.92,77.29,75.69
2020-09-10,75.1,76.99,77.39,74.71
2020-09-09,76.99,74.77,77.72,75.54
2020-09-08,74.59,76.4,75.8,74.14
2020-09-07,76.44,69.54,77.71,75.3
2020-09-06,69.38,67.39,70.73,69.08
2020-09-05,67.52,72.64,68.51,66.8
2020-09-04,72.75,68.3,74.14,72.43
2020-09-03,68.46,81.75,68.94,65.99
2020-09-02,81.73,87.98,83.53,81.73
2020-09-01,88.03,86.77,89.65,87.74
2020-08-31,86.77,88.44,86.98,85.14
2020-08-30,88.46,85.94,88.91,88.1
2020-08-29,86.1,84.72,86.21,84.96
2020-08-28,84.61,84.73,85.04,84.39
2020-08-27,84.17,85.22,84.57,82.41
2020-08-26,85.36,85.28,86.49,84.96
2020-08-25,84.93,89.75,85.74,83.58
2020-08-24,89.85,91.73,91.83,89.47
2020-08-23,91.67,88.97,91.77,89.43
2020-08-22,88.72,87.74,91.03,88.61
2020-08-21,87.44,91.33,87.45,85.2
2020-08-20,90.92,87.65,91.99,89.34
2020-08-19,87.86,90.47,88.87,87.72
2020-08-18,90.89,97.51,93.77,90.44
2020-08-17,97.39,94.17,98.72,97.16
2020-08-16,94.3,94.16,95.1,92.93
2020-08-15,94.38,93.2,94.69,92.49
2020-08-14,93.17,91.93,94.47,91.76
2020-08-13,92.12,90.44,92.88,90.96
2020-08-12,90.59,86.5,92.28,90.27
2020-08-11,86.18,95.55,88.55,85.55
2020-08-10,95.62,97.22,96.58,95.35
2020-08-09,97.18,97.95,98.37,96.85
2020-08-08,98.1,94.9,98.56,97.37
2020-08-07,95.13,101.37,96.77,95.11
2020-08-06,101.47,91.85,103.8,99.72
2020-08-05,91.64,86.89,92.81,91.22
2020-08-04,86.79,87.92,87.41,85.94
2020-08-03,87.98,85.92,89.15,87.36
2020-08-02,86.12,94.02,86.51,83.89
2020-08-01,94.61,84.28,95.46,91.86
2020-07-31,84.41,80.26,84.57,81.87
2020-07-30,80.23,80.61,81.7,80.19
2020-07-29,80.59,80.71,81.48,79.89
2020-07-28,80.31,78.02,80.62,78.97
2020-07-27,78.01,76.17,79.4,77.53
2020-07-26,76.23,75.56,77.11,75.22
2020-07-25,75.42,73.39,76.08,74.26
2020-07-24,73.42,72.76,73.64,71.95
2020-07-23,72.76,72.9,73.4,72.71
2020-07-22,72.83,72.02,73.55,72.72
2020-07-21,72.01,69.07,72.39,71.08
2020-07-20,69.03,70.14,69.37,68.73
2020-07-19,70.14,69.16,70.4,69.96
2020-07-18,69.19,69.03,69.4,69.08
2020-07-17,69.02,69.18,69.69,68.84
2020-07-16,69.1,70.83,69.57,69.06
2020-07-15,70.81,71.22,71.38,70.77
2020-07-14,71.3,70.55,72.16,71.23
2020-07-13,70.62,72.64,71.85,70.35
2020-07-12,72.62,72.67,73.07,71.81
2020-07-11,72.71,71.63,73.07,72.47
2020-07-10,71.57,71.15,72.21,71.55
2020-07-09,71.02,71.64,71.88,70.96
2020-07-08,71.65,71.45,72.73,71.31
2020-07-07,71.24,70.25,71.44,69.47
2020-07-06,70.28,67.14,70.91,69.9
2020-07-05,67.11,67.39,67.71,67.05
2020-07-04,67.45,67.05,67.73,67.26
2020-07-03,67.05,66.29,67.27,66.26
2020-07-02,67.69,67.56,68.69,67.61
2020-07-01,68.17,68.0,68.45,67.99
2020-06-30,67.81,68.6,68.2,67.7
2020-06-29,68.63,67.42,69.18,68.56
2020-06-28,67.42,66.26,68.32,67.36
2020-06-27,66.18,70.59,66.97,66.07
2020-06-26,70.61,70.89,70.71,70.22
2020-06-25,70.87,70.79,71.53,70.72
2020-06-24,70.61,74.77,72.41,70.23
2020-06-23,74.74,72.04,75.22,74.0
2020-06-22,72.01,71.21,72.66,71.77
2020-06-21,71.09,70.74,71.31,70.04
2020-06-20,70.73,70.58,71.26,70.6
2020-06-19,70.59,70.18,70.92,69.95
2020-06-18,70.13,72.06,71.52,69.88
2020-06-17,72.02,72.34,72.67,71.81
2020-06-16,72.22,72.7,72.76,72.01
2020-06-15,72.55,70.9,72.77,71.42
2020-06-14,73.5,72.99,74.26,73.28
2020-06-13,73.72,72.88,74.26,73.6
2020-06-12,73.07,72.64,73.43,72.84
2020-06-11,72.74,78.34,72.84,71.26
2020-06-10,78.31,77.21,79.28,78.11
