Date,Close/Last,Open,High,Low
2020-09-14,49.657,47.974,50.28,48.347
2020-09-13,48.105,50.881,48.286,47.133
2020-09-12,50.772,48.846,50.904,50.218
2020-09-11,48.847,47.587,49.01600000000001,48.569
2020-09-10,47.70399999999999,49.078,48.867,47.47
2020-09-09,49.026,46.904,49.429,47.785
2020-09-08,46.733,48.56,47.799,46.54
2020-09-07,48.642,47.75,49.337,48.309
2020-09-06,47.744,47.268,48.731,47.349
2020-09-05,47.37300000000001,49.996,48.07100000000001,46.767
2020-09-04,50.113,48.197,51.24100000000001,49.841
2020-09-03,48.137,57.464,48.728,46.612
2020-09-02,57.367,62.379,58.6,57.312
2020-09-01,62.393,61.698,63.139,62.153
2020-08-31,61.644,62.315,61.721,59.857
2020-08-30,62.324,58.78,63.677,62.272
2020-08-29,58.483,57.535,58.688,56.931
2020-08-28,57.38800000000001,56.581,57.595,56.976000000000006
2020-08-27,56.472,57.852,56.746,55.334
2020-08-26,57.97,58.014,58.655,57.574
2020-08-25,57.897,60.983,58.601000000000006,57.622
2020-08-24,61.066,61.486,62.292,60.712
2020-08-23,61.655,58.861,61.826,59.973
2020-08-22,58.919,59.337,60.615,58.621
2020-08-21,58.978,63.768,59.229,57.789
2020-08-20,63.099,62.06100000000001,63.26300000000001,61.415
2020-08-19,62.359,62.72,63.437,62.015
2020-08-18,63.207,66.994,67.108,62.718
2020-08-17,66.98899999999999,63.468,68.354,66.734
2020-08-16,63.612,61.402,64.221,61.552
2020-08-15,61.431,57.574,62.871,59.005
2020-08-14,57.552,56.203,57.932,56.679
2020-08-13,56.334,54.665,57.355,55.917
2020-08-12,54.471,53.676,55.20399999999999,54.358
2020-08-11,53.588,58.433,54.262,53.00100000000001
2020-08-10,58.43,58.13800000000001,59.668,58.096
2020-08-09,58.218,58.025,58.434,56.952
2020-08-08,58.042,56.764,58.667,57.86600000000001
2020-08-07,56.807,59.552,57.643,56.489
2020-08-06,59.68600000000001,58.299,60.349,58.843
2020-08-05,58.235,57.512,59.12300000000001,58.183
2020-08-04,57.46100000000001,58.32,57.816,56.885
2020-08-03,58.207,57.172,59.569,58.139
2020-08-02,57.353,64.868,57.659,55.89100000000001
2020-08-01,64.964,59.364,64.98100000000001,60.566
2020-07-31,59.489,55.909,59.74100000000001,57.56100000000001
2020-07-30,55.92100000000001,54.683,57.144,55.799
2020-07-29,54.731,56.136,55.425,54.29
2020-07-28,56.093,53.431,56.511,55.127
2020-07-27,53.555,48.736,54.591,53.269
2020-07-26,48.828,48.648,49.352,47.99800000000001
2020-07-25,48.63399999999999,46.938,49.167,48.034
2020-07-24,46.835,44.768,47.377,44.038
2020-07-23,44.791,44.984,44.959,44.452
2020-07-22,44.975,43.91,45.644,44.83
2020-07-21,43.889,42.303,43.989,43.549
2020-07-20,42.294,42.669,42.408,41.88
