Date,Close/Last,Open,High,Low
2020-09-14,1.3153,1.3174,1.3187,1.3149
2020-09-13,1.3163,1.3174,1.3194,1.3158
2020-09-11,1.3181,1.319,1.3207,1.3149
2020-09-10,1.3175,1.319,1.3195,1.317
2020-09-09,1.3155,1.3141,1.3168,1.3139
2020-09-08,1.3237,1.3232,1.3256,1.3229
2020-09-07,1.311,1.3096,1.3113,1.3089
2020-09-06,1.3081,1.3061,1.3084,1.305
2020-09-04,1.3064,1.3126,1.3141,1.3042
2020-09-03,1.3127,1.3126,1.3141,1.3111
2020-09-02,1.3065,1.3042,1.3071,1.3038
2020-09-01,1.3066,1.3062,1.3084,1.3051
2020-08-31,1.301,1.3045,1.3048,1.3003
2020-08-30,1.3077,1.3097,1.3104,1.307
2020-08-28,1.3095,1.3123,1.3133,1.3045
2020-08-27,1.3107,1.3123,1.3133,1.3104
2020-08-26,1.3145,1.3139,1.3155,1.3133
2020-08-25,1.3175,1.3168,1.3181,1.3157
2020-08-24,1.3226,1.3216,1.3235,1.3211
2020-08-23,1.3171,1.3175,1.3188,1.3166
2020-08-21,1.3178,1.3182,1.3235,1.3157
2020-08-20,1.3171,1.3182,1.3189,1.3161
2020-08-19,1.3219,1.3213,1.3233,1.3205
2020-08-18,1.3162,1.3167,1.3175,1.315
2020-08-17,1.319,1.3214,1.3232,1.3187
2020-08-16,1.3255,1.3266,1.3264,1.3243
2020-08-14,1.3267,1.3219999999999998,1.3271,1.3204
2020-08-13,1.3229,1.3219999999999998,1.3235,1.3212
2020-08-12,1.3238,1.3244,1.3257,1.3224
2020-08-11,1.3338,1.33,1.3361,1.3269
2020-08-10,1.3325,1.335,1.3361,1.3323
2020-08-09,1.3375,1.3383,1.3394,1.3368
2020-08-07,1.3384,1.3304,1.3399,1.3282
2020-08-06,1.3363,1.3304,1.3372,1.3282
2020-08-05,1.3264,1.3264,1.328,1.3252
2020-08-04,1.3289,1.3317,1.3332,1.3282
2020-08-03,1.3392,1.3389,1.3405,1.3381
2020-08-02,1.3408,1.3413,1.3421,1.3388
2020-07-31,1.3413,1.3422,1.3441,1.3369
2020-07-30,1.3424,1.3422,1.3441,1.3405
2020-07-29,1.334,1.334,1.3351,1.3332
2020-07-28,1.3375,1.3376,1.3388,1.3364
2020-07-27,1.3371,1.3354,1.3371,1.3329
2020-07-26,1.3379,1.3413,1.3431,1.3369
2020-07-24,1.3419,1.3408,1.3445,1.3375
2020-07-23,1.3406,1.3408,1.3418,1.3375
2020-07-22,1.3403,1.3415,1.3419,1.3399
2020-07-21,1.3445,1.3457,1.346,1.3438
2020-07-20,1.3514,1.3533,1.3538,1.3511
2020-07-19,1.3588,1.3576,1.36,1.3574
2020-07-17,1.3578,1.357,1.3589,1.3562
2020-07-16,1.3575,1.357,1.3583,1.3562
2020-07-15,1.3506,1.3508,1.3518,1.35
2020-07-14,1.3604,1.3612,1.3619,1.3584
2020-07-13,1.362,1.3608,1.3626,1.3596
2020-07-12,1.3573,1.3591,1.3602,1.3568
2020-07-10,1.3596,1.3584,1.3632,1.3574
2020-07-09,1.3594,1.3584,1.3605,1.3574
2020-07-08,1.3508,1.351,1.3525,1.3506
2020-07-07,1.3601,1.3602,1.3613,1.3591
2020-07-06,1.3548,1.3536,1.3556,1.3523
2020-07-05,1.3543,1.3545,1.3566,1.3539
2020-07-03,1.355,1.3563,1.3582,1.3543
2020-07-02,1.3597,1.3585,1.3612,1.3573
2020-07-01,1.3603,1.3585,1.3606,1.3576
2020-06-30,1.357,1.3573,1.3582,1.3558
2020-06-29,1.3664,1.3657,1.3676,1.365
2020-06-28,1.3662,1.3688,1.3699,1.3645
2020-06-26,1.3687,1.3636,1.3716,1.3625
2020-06-25,1.3639,1.3636,1.3653,1.3627
2020-06-24,1.3646,1.3637,1.3652,1.3618
2020-06-23,1.3553,1.3545,1.3559,1.3525
2020-06-22,1.3535,1.352,1.3571,1.3498
2020-06-21,1.359,1.3603,1.3631,1.3587
2020-06-19,1.3609,1.3599,1.3618,1.3545
2020-06-18,1.3598,1.3599,1.3615,1.3585
2020-06-17,1.3569,1.3563,1.3608,1.3554
2020-06-16,1.3557,1.3542,1.3572,1.3531
2020-06-15,1.3518,1.357,1.3574,1.3509
2020-06-12,1.3584,1.3624,1.3666,1.3525
2020-06-11,1.3618,1.3624,1.3666,1.3616
2020-06-10,1.3454,1.3411,1.3456,1.3397
2020-06-09,1.3396,1.3414,1.3429,1.339
2020-06-08,1.3391,1.3382,1.3396,1.3357
2020-06-07,1.3423,1.3424,1.3436,1.3393
2020-06-05,1.3422,1.3498,1.3513,1.339
2020-06-04,1.3516,1.3493,1.3531,1.3487
2020-06-03,1.3515,1.3493,1.3519,1.3487
2020-06-02,1.3504,1.3516,1.3528,1.3478
2020-06-01,1.3559,1.3571,1.3585,1.3543
2020-05-29,1.3772,1.3761,1.3832,1.3713
2020-05-28,1.3773,1.3761,1.3794,1.3761
2020-05-27,1.3768,1.375,1.3775,1.3732
2020-05-26,1.3775,1.3777,1.3805,1.3766
2020-05-25,1.3948,1.3984,1.3989,1.3945
2020-05-24,1.3992,1.3994,1.4008,1.398
2020-05-22,1.4008,1.3952,1.4049,1.3939
2020-05-21,1.3998,1.3952,1.4005,1.3939
2020-05-20,1.3939,1.39,1.3941,1.3897
2020-05-19,1.3927,1.3941,1.3961,1.3914
2020-05-18,1.3958,1.3934,1.3969,1.3922
2020-05-17,1.4075,1.4108,1.4118,1.4065
2020-05-15,1.4108,1.4048,1.4117,1.4016
2020-05-14,1.4049,1.4048,1.406,1.403
2020-05-13,1.4102,1.4099,1.4107,1.4085
2020-05-12,1.4057,1.4077,1.4085,1.4051
2020-05-11,1.4047,1.4006,1.4064,1.4002
2020-05-08,1.3917,1.3969999999999998,1.4001,1.3907
2020-05-07,1.3939,1.3969999999999998,1.4001,1.3923
2020-05-06,1.4131,1.4143,1.4173,1.4122
2020-05-05,1.4055,1.4045,1.4078,1.403
2020-05-04,1.4068,1.4083,1.4093,1.4053
2020-05-03,1.4106,1.4084,1.4152,1.4079
2020-05-01,1.4089,1.3941,1.411,1.393
2020-04-30,1.4,1.3941,1.4007,1.393
2020-04-29,1.3869999999999998,1.3877,1.3898,1.3868
2020-04-28,1.3945,1.3993,1.4004,1.3939
2020-04-27,1.4052,1.4029,1.4065,1.4015
2020-04-26,1.4074,1.4102,1.4117,1.4062
2020-04-24,1.4099,1.4071,1.412,1.4021
2020-04-23,1.4067,1.4071,1.4088,1.4051
2020-04-22,1.4183,1.4159,1.4199,1.4158
2020-04-21,1.4216,1.4207,1.4222,1.4172
2020-04-20,1.4161,1.4145,1.4178,1.4111
2020-04-19,1.4076,1.3998,1.4079,1.4017
2020-04-17,1.3999,1.4079,1.4118,1.3998
2020-04-16,1.4037,1.4079,1.4089,1.4003
2020-04-15,1.4115,1.4111,1.4137,1.4101
2020-04-14,1.3897,1.3881,1.3913,1.3874
2020-04-13,1.3867,1.3902,1.3907,1.3862
2020-04-12,1.3952,1.3952,1.4002,1.3925
2020-04-10,1.3957,1.3973,1.4009,1.3946
2020-04-09,1.3974,1.3973,1.4009,1.3963
2020-04-08,1.4021,1.4012,1.4036,1.3999
2020-04-07,1.4046,1.3993,1.4046,1.3986
2020-04-06,1.4102,1.4109,1.4143,1.4081
2020-04-05,1.4181,1.4201,1.4262,1.4176
2020-04-03,1.4192,1.4131,1.4225,1.4093
2020-04-02,1.4159,1.4131,1.4172,1.4115
2020-04-01,1.4171,1.4188,1.4196,1.4145
2020-03-31,1.4102,1.4059,1.4119,1.4061
2020-03-30,1.4175,1.4169,1.4208,1.4152
2020-03-29,1.4057,1.3977,1.4083,1.4018
2020-03-27,1.3991,1.4016,1.4154,1.392
2020-03-26,1.4001,1.4016,1.4072,1.3998
2020-03-25,1.4244,1.419,1.4269,1.4185
2020-03-24,1.4391,1.4459,1.4482,1.4376
2020-03-23,1.4421,1.4496,1.4534,1.4398
2020-03-22,1.4419,1.4362,1.4488,1.4348
2020-03-20,1.4341,1.4509999999999998,1.4538,1.415
2020-03-19,1.4405,1.4509999999999998,1.4538,1.4376
2020-03-18,1.4622,1.4503,1.4668,1.4423
2020-03-17,1.4206,1.4199,1.4248,1.4192
2020-03-16,1.3975,1.4016,1.402,1.3962
2020-03-15,1.3843,1.3803,1.3884,1.3733
2020-03-13,1.3806,1.3926,1.3994,1.378
2020-03-12,1.392,1.3926,1.3949,1.391
2020-03-11,1.3787,1.3776,1.3821,1.3765
2020-03-10,1.3697,1.3722,1.3745,1.3693
2020-03-09,1.3634,1.3701,1.3708,1.3627
2020-03-08,1.3638,1.3423,1.3758,1.354
2020-03-06,1.3425,1.3405,1.3439,1.3378
2020-03-05,1.3407,1.3405,1.3414,1.3385
2020-03-04,1.3347,1.3385,1.3388,1.3328
2020-03-03,1.3355,1.3385,1.3388,1.3342
2020-03-02,1.334,1.3322,1.3352,1.3318
2020-03-01,1.3346,1.3396,1.344,1.3334
2020-02-28,1.3397,1.3388,1.3464,1.3376
2020-02-27,1.344,1.3388,1.3447,1.3376
2020-02-26,1.3342,1.3330000000000002,1.3348,1.3325
2020-02-25,1.3279,1.3277,1.3295,1.3272
2020-02-24,1.3287,1.3292,1.3297,1.3278
2020-02-23,1.3265,1.3222,1.3268,1.3245
2020-02-21,1.3224,1.3259,1.3269,1.32
2020-02-20,1.3252,1.3259,1.3267,1.3244
2020-02-19,1.3228,1.3218,1.324,1.3209
2020-02-18,1.3247,1.3256,1.3261,1.3242
2020-02-17,1.3234,1.3252,1.3252,1.3224
2020-02-16,1.3237,1.3252,1.3252,1.3236
2020-02-14,1.3251,1.3267,1.327,1.3233
2020-02-13,1.3258,1.3267,1.327,1.3253
2020-02-12,1.325,1.3249,1.3261,1.3238
2020-02-11,1.3282,1.3286,1.3296,1.3276
2020-02-10,1.3302,1.3315,1.332,1.3298
2020-02-09,1.3293,1.3311,1.3313,1.3291
2020-02-07,1.3306,1.3284,1.332,1.3278
2020-02-06,1.3289,1.3284,1.3295,1.3282
2020-02-05,1.3283,1.3278,1.3289,1.3278
2020-02-04,1.3289,1.3272,1.3295,1.3273
2020-02-03,1.3291,1.3284,1.3302,1.3285
2020-02-02,1.3244,1.3235,1.325,1.3237
2020-01-31,1.3237,1.3208,1.3254,1.3193
2020-01-30,1.3201,1.3208,1.3216,1.3193
2020-01-29,1.3203,1.3196,1.3206,1.3191
2020-01-28,1.3163,1.3155,1.3166,1.3153
2020-01-27,1.3186,1.3192,1.3196,1.3182
2020-01-26,1.3159,1.3142,1.3164,1.3148
2020-01-24,1.3149,1.3122,1.3153,1.3119
2020-01-23,1.3127,1.3122,1.3133,1.3122
2020-01-22,1.3167,1.3134,1.317,1.3131
2020-01-21,1.3085,1.3067,1.3093,1.3067
2020-01-20,1.3056,1.3046,1.3062,1.3042
2020-01-19,1.3066,1.3063,1.307,1.3059
2020-01-17,1.3066,1.304,1.3075,1.3032
2020-01-16,1.3051,1.304,1.3053,1.3036
2020-01-15,1.3043,1.3041,1.3046,1.3033
2020-01-14,1.3058,1.306,1.3072,1.3054
2020-01-13,1.3058,1.3056,1.3063,1.3047
2020-01-12,1.3047,1.305,1.3068,1.3045
2020-01-10,1.3049,1.3054,1.3076,1.3027
2020-01-09,1.3064,1.3054,1.3069,1.3051
2020-01-08,1.304,1.3037,1.304,1.3024
2020-01-07,1.2984,1.3003,1.3008,1.2978
2020-01-06,1.2966,1.2963,1.2968,1.2958
2020-01-05,1.2976,1.2999,1.2991,1.2975
2020-01-03,1.3001,1.2978,1.3009,1.2959
2020-01-02,1.2992,1.2978,1.2999,1.2974
2020-01-01,1.2988,1.2986,1.2990000000000002,1.2971
2019-12-31,1.2986,1.2986,1.2992,1.2984
2019-12-30,1.3051,1.3064,1.3071,1.3043
2019-12-29,1.3068,1.3076,1.3085,1.3063
2019-12-27,1.307,1.3121,1.3123,1.3063
2019-12-26,1.3106,1.3121,1.3123,1.3101
2019-12-25,1.3154,1.3159999999999998,1.3165,1.3151
2019-12-24,1.3163,1.3165,1.317,1.3156
2019-12-23,1.3155,1.3143,1.3158,1.3141
2019-12-22,1.3157,1.3146,1.3159,1.314
2019-12-20,1.3146,1.3125,1.3181,1.3119
2019-12-19,1.3138,1.3125,1.3139,1.3119
2019-12-18,1.3117,1.3113,1.3119,1.3106
2019-12-17,1.3165,1.3158,1.3171,1.3151
2019-12-16,1.3161,1.315,1.3175,1.3152
