Date,Close/Last,Open,High,Low
2020-09-14,0.907,0.9083,0.909,0.9066
2020-09-13,0.9087,0.9086,0.91,0.9084
2020-09-11,0.9094,0.9104,0.911,0.908
2020-09-10,0.9098,0.9104,0.911,0.9095
2020-09-09,0.9113,0.9123,0.9134,0.9112
2020-09-08,0.918,0.9173,0.9188,0.9173
2020-09-07,0.9179,0.9159,0.9184,0.9159
2020-09-06,0.914,0.9131,0.9145,0.913
2020-09-04,0.9135,0.9093,0.9163,0.9089
2020-09-03,0.9099,0.9093,0.9107,0.9089
2020-09-02,0.9125,0.9105,0.9129,0.9101
2020-09-01,0.9111,0.9092,0.9121,0.9089
2020-08-31,0.9012,0.9035,0.9045,0.9005
2020-08-30,0.9041,0.9038,0.9054,0.9027
2020-08-28,0.9042,0.9088,0.9103,0.9024
2020-08-27,0.9072,0.9088,0.9103,0.9071
2020-08-26,0.908,0.9081,0.9088,0.9071
2020-08-25,0.909,0.9075,0.9091,0.9073
2020-08-24,0.9114,0.9117,0.9127,0.9105
2020-08-23,0.9125,0.9115,0.9128,0.9112
2020-08-21,0.9116,0.9076,0.914,0.9062
2020-08-20,0.9073,0.9076,0.9083,0.9066
2020-08-19,0.9145,0.915,0.9163,0.9142
2020-08-18,0.9038,0.9037,0.9042,0.9023
2020-08-17,0.9053,0.9064,0.9069,0.9049
2020-08-16,0.9093,0.909,0.9097,0.9085
2020-08-14,0.9091,0.9096,0.9124,0.9086
2020-08-13,0.9103,0.9096,0.9111,0.9094
2020-08-12,0.9109,0.912,0.9134,0.9101
2020-08-11,0.9192,0.9167,0.9197,0.9165
2020-08-10,0.9152,0.9156,0.9169,0.915
2020-08-09,0.9132,0.9123,0.9135,0.9121
2020-08-07,0.9125,0.9097,0.9158,0.9092
2020-08-06,0.9128,0.9097,0.9133,0.9092
2020-08-05,0.9084,0.9083,0.9092,0.9073
2020-08-04,0.9126,0.9132,0.9141,0.9123
2020-08-03,0.9182,0.9177,0.9192,0.9172
2020-08-02,0.9147,0.9127,0.9167,0.9128
2020-07-31,0.9133,0.9087,0.9149,0.9056
2020-07-30,0.9069,0.9087,0.9102,0.9061
2020-07-29,0.9124,0.9124,0.9137,0.912
2020-07-28,0.9175,0.9179,0.9188,0.9173
2020-07-27,0.9224,0.9197,0.9224,0.9192
2020-07-26,0.9173,0.9206,0.9219,0.9167
2020-07-24,0.9206,0.9253,0.9262,0.9203
2020-07-23,0.9244,0.9253,0.9259,0.9238
2020-07-22,0.9286,0.9295,0.9304,0.9285
2020-07-21,0.9324,0.9331,0.9335,0.9317
2020-07-20,0.9388,0.9387,0.9402,0.9377
2020-07-19,0.9401,0.9384,0.9405,0.9381
2020-07-17,0.9387,0.9453,0.9463,0.9379
2020-07-16,0.9447,0.9453,0.9463,0.9446
2020-07-15,0.9456,0.9441,0.9457,0.9439
2020-07-14,0.9405,0.9395,0.9407,0.9389
2020-07-13,0.9421,0.9413,0.9425,0.9413
2020-07-12,0.9396,0.9408,0.9414,0.9393
2020-07-10,0.9413,0.9402,0.9432,0.9385
2020-07-09,0.9421,0.9402,0.9421,0.9397
2020-07-08,0.9368,0.9381,0.9392,0.9368
2020-07-07,0.9425,0.9421,0.9433,0.9421
2020-07-06,0.9425,0.9419,0.9428,0.9409
2020-07-05,0.9434,0.9457,0.9454,0.9432
2020-07-03,0.9459,0.9451,0.947,0.9442
2020-07-02,0.9439,0.9457,0.9466,0.9426
2020-07-01,0.9461,0.9457,0.9466,0.945
2020-06-30,0.9473,0.9471,0.9479,0.9462
2020-06-29,0.9515,0.9511,0.9522,0.9508
