Date,Close/Last,Open,High,Low
2020-09-14,21.0513,21.074,21.1116,21.049
2020-09-13,21.2249,21.2663,21.2955,21.2232
2020-09-11,21.2726,21.436,21.4588,21.242
2020-09-10,21.386,21.436,21.4588,21.3746
2020-09-09,21.4239,21.352,21.4485,21.3575
2020-09-08,21.9211,21.76,21.9431,21.7475
2020-09-07,21.6376,21.6195,21.6459,21.5936
2020-09-06,21.5455,21.566,21.5885,21.5326
2020-09-04,21.5574,21.66,21.7465,21.5017
2020-09-03,21.713,21.66,21.7465,21.6525
2020-09-02,21.7505,21.71,21.7965,21.7097
2020-09-01,21.7985,21.79,21.8585,21.7428
2020-08-31,21.8155,21.8785,21.9595,21.8075
2020-08-30,21.7535,21.7523,21.7873,21.7415
2020-08-28,21.7576,22.1338,22.1593,21.7483
2020-08-27,22.087,22.1338,22.1593,22.0723
2020-08-26,21.9476,21.931,21.9709,21.924
2020-08-25,21.9213,21.885,21.9389,21.8919
2020-08-24,21.965,21.979,22.0137,21.9569
2020-08-23,21.9891,21.9598,22.0059,21.9543
2020-08-21,21.9755,22.074,22.178,21.9525
2020-08-20,22.072,22.074,22.1085,22.0601
2020-08-19,22.1875,22.1231,22.245,22.1281
2020-08-18,22.1693,22.1496,22.1755,22.121
2020-08-17,22.1662,22.167,22.1845,22.1311
2020-08-16,21.947,21.9742,21.9744,21.9206
2020-08-14,21.9636,22.132,22.2419,21.94
2020-08-13,22.1991,22.132,22.2419,22.159
2020-08-12,22.366,22.342,22.393,22.3136
2020-08-11,22.449,22.386,22.49,22.4
2020-08-10,22.4118,22.447,22.4892,22.4117
2020-08-09,22.3659,22.3576,22.419,22.3604
2020-08-07,22.3805,22.368,22.6045,22.3531
2020-08-06,22.5255,22.368,22.5525,22.3852
2020-08-05,22.3787,22.3576,22.4103,22.32
2020-08-04,22.5665,22.647,22.675,22.5655
2020-08-03,22.6524,22.6246,22.6705,22.6209
2020-08-02,22.2795,22.2714,22.3443,22.26
2020-07-31,22.2762,22.004,22.2968,21.9799
2020-07-30,22.0185,22.004,22.0495,21.9874
2020-07-29,21.9769,21.961,22.002,21.962
2020-07-28,21.9473,21.925,21.9875,21.917
2020-07-27,21.9905,21.914,21.9979,21.9004
2020-07-26,22.2176,22.259,22.325,22.2171
2020-07-24,22.2935,22.489,22.6245,22.2445
2020-07-23,22.513,22.489,22.5144,22.4183
2020-07-22,22.3439,22.358,22.3907,22.3389
2020-07-21,22.2922,22.3327,22.3405,22.2551
2020-07-20,22.4745,22.479,22.5075,22.4484
2020-07-19,22.5705,22.54,22.6107,22.4921
2020-07-17,22.5464,22.4119,22.6125,22.384
2020-07-16,22.3896,22.4119,22.442,22.3853
2020-07-15,22.388,22.322,22.4162,22.3195
2020-07-14,22.4496,22.443,22.4595,22.3675
2020-07-13,22.7349,22.7615,22.778,22.6944
2020-07-12,22.4465,22.4435,22.5209,22.4136
2020-07-10,22.4615,22.626,22.8425,22.448
2020-07-09,22.6975,22.626,22.736,22.6002
2020-07-08,22.688,22.655,22.749,22.6533
2020-07-07,22.7865,22.841,22.9015,22.7445
2020-07-06,22.352,22.3259,22.391,22.2558
2020-07-05,22.2994,22.3915,22.4205,22.2947
2020-07-03,22.392,22.465,22.5976,22.3797
2020-07-02,22.5785,22.666,22.7482,22.5312
2020-07-01,22.6865,22.666,22.7482,22.6327
2020-06-30,23.0204,22.9889,23.0389,22.9742
2020-06-29,23.0575,23.0595,23.101,23.0362
2020-06-28,23.0295,23.0485,23.0904,22.9541
2020-06-26,23.0577,22.6452,23.075,22.6315
2020-06-25,22.6974,22.6452,22.7314,22.6315
2020-06-24,22.8446,22.7772,22.8453,22.726
2020-06-23,22.3872,22.4082,22.469,22.3052
2020-06-22,22.4715,22.486,22.68,22.3906
2020-06-21,22.5609,22.6328,22.6765,22.5302
2020-06-19,22.6419,22.7418,22.8281,22.1995
2020-06-18,22.7205,22.7418,22.8281,22.1995
2020-06-17,22.298,22.301,22.4537,22.2826
2020-06-16,22.431,22.3095,22.4688,22.268
2020-06-15,22.0285,22.2139,22.252,22.0144
2020-06-12,22.214,22.7368,22.9456,22.1845
2020-06-11,22.7839,22.7368,22.9456,22.7375
2020-06-10,22.1077,21.857,22.1225,21.8525
2020-06-09,21.812,21.9017,21.923,21.7972
2020-06-08,21.5744,21.492,21.5902,21.4631
2020-06-07,21.5509,21.5844,21.5894,21.4768
2020-06-05,21.5932,21.928,21.965,21.4945
2020-06-04,21.904,21.7579,21.9754,21.7064
2020-06-03,21.7936,21.7579,21.8006,21.7064
2020-06-02,21.6695,21.7817,21.8119,21.6241
2020-06-01,22.045,22.024,22.0756,22.0077
2020-05-29,22.1706,22.2179,22.3386,22.0052
2020-05-28,22.2043,22.2179,22.281,22.1834
2020-05-27,22.3257,22.288,22.336,22.2677
2020-05-26,22.211,22.186,22.2822,22.19
2020-05-25,22.456,22.5342,22.5902,22.4435
2020-05-24,22.676,22.725,22.7275,22.6535
2020-05-22,22.7318,22.8644,23.165,22.7088
2020-05-21,22.9965,22.8644,23.0004,22.855
2020-05-20,23.2525,23.191,23.2783,23.1901
2020-05-19,23.6046,23.681,23.7532,23.5785
2020-05-18,23.7061,23.746,23.7966,23.6202
2020-05-17,23.835,23.9282,24.0064,23.8097
2020-05-15,23.9629,23.86,24.122,23.7656
2020-05-14,23.8975,23.86,23.9637,23.8446
2020-05-13,24.2295,24.2009,24.2865,24.1792
2020-05-12,24.2204,24.355,24.397,24.2089
2020-05-11,24.033,23.921,24.081,23.8971
2020-05-08,23.66,24.031,24.1305,23.5575
2020-05-07,23.912,24.031,24.1305,23.8561
2020-05-06,24.3275,24.353,24.5485,24.31900000000001
2020-05-05,24.0395,23.986,24.178,23.956
2020-05-04,24.084,24.06,24.1193,24.0602
2020-05-03,24.679,24.5681,24.8866,24.5987
2020-05-01,24.6073,24.151,24.8712,24.123
2020-04-30,24.396,24.151,24.4539,24.123
2020-04-29,23.823,23.738000000000003,23.9114,23.726
2020-04-28,24.2315,24.271,24.3299,24.2049
2020-04-27,24.802,24.6759,24.9004,24.683000000000003
2020-04-26,24.8902,24.949,25.025,24.8789
2020-04-24,24.989,24.806,25.2905,24.6057
2020-04-23,24.765,24.806,24.859,24.734
2020-04-22,24.524,24.467,24.5755,24.4455
2020-04-21,24.4535,24.393,24.469,24.3478
2020-04-20,24.076,24.038,24.177,23.9859
2020-04-19,24.0945,23.671,24.1025,23.71
2020-04-17,23.7389,24.001,24.1346,23.615
2020-04-16,23.803,24.001,24.0385,23.7274
2020-04-15,24.392,23.974,24.4315,23.9697
2020-04-14,23.449,23.37,23.4768,23.3725
2020-04-13,23.487,23.586,23.7171,23.4632
2020-04-12,23.4697,23.33,23.4953,23.288
2020-04-10,23.37,23.56,23.7858,23.3375
2020-04-09,23.7326,23.56,23.7858,23.5637
2020-04-08,24.0117,24.0075,24.072,23.9566
2020-04-07,24.3813,24.295,24.433000000000003,24.3115
2020-04-06,24.6793,24.6266,24.6813,24.5434
2020-04-05,25.5502,24.961,25.6895,25.0125
2020-04-03,24.9765,24.221,25.046,24.2221
2020-04-02,24.455,24.221,24.5224,24.2221
2020-04-01,24.205,24.201,24.305,24.2015
2020-03-31,23.816,23.714,23.8177,23.6255
2020-03-30,23.88,23.788,23.9321,23.7564
2020-03-29,23.683000000000003,23.301,23.713,23.5706
2020-03-27,23.362,22.93,23.62,22.864
2020-03-26,23.198,22.93,23.4334,22.864
2020-03-25,24.01,23.931,24.0893,23.9185
2020-03-24,24.817,24.827,24.9135,24.7541
2020-03-23,25.113000000000003,25.338,25.4475,25.039
2020-03-22,24.744,24.4215,24.8665,24.415
2020-03-20,24.4138,24.0225,24.565,23.4881
2020-03-19,23.7515,24.0225,24.115,23.5785
2020-03-18,24.3422,23.7064,24.4063,23.6043
2020-03-17,22.9475,22.9367,23.03,22.9145
2020-03-16,22.555,22.85,22.895,22.47
2020-03-15,22.037,21.902,22.0825,21.592
2020-03-13,21.9235,21.901,22.153,21.36
2020-03-12,22.0435,21.901,22.153,21.9045
2020-03-11,21.8015,21.3805,21.8825,21.3516
2020-03-10,20.9145,20.8435,20.9915,20.7689
2020-03-09,20.646,20.784,21.002,20.5245
2020-03-08,21.3058,20.1024,21.69,20.1097
2020-03-06,20.1043,19.8445,20.385,19.8117
2020-03-05,20.0185,19.8445,20.083,19.8117
2020-03-04,19.3535,19.448,19.484,19.1869
2020-03-03,19.3862,19.448,19.484,19.3634
2020-03-02,19.437,19.4,19.461,19.354
2020-03-01,19.6645,19.611,19.8767,19.5798
