Date,Close/Last,Open,High,Low
2020-09-14,14.43,14.3,14.45,14.26
2020-11-09,14.49,14.45,14.57,14.37
2020-10-09,14.38,14.62,14.66,14.35
2020-09-09,14.65,14.31,14.75,14.3
2020-08-09,14.32,14.41,14.43,14.1
2020-04-09,15.21,15.69,15.69,15.17
2020-03-09,15.79,15.53,15.82,15.45
2020-02-09,15.85,16.24,16.24,15.73
2020-01-09,16.24,16.22,16.35,16.17
2020-08-31,16.16,16.2,16.31,16.07
2020-08-28,16.24,16.2,16.29,16.15
2020-08-27,16.19,16.33,16.33,16.01
2020-08-26,16.34,16.33,16.46,16.3
2020-08-25,16.34,16.34,16.4,16.21
2020-08-24,16.06,16.02,16.15,16.0
2020-08-21,15.95,15.87,15.99,15.7
2020-08-20,16.14,15.89,16.18,15.77
2020-08-19,16.19,16.15,16.28,16.09
2020-08-18,16.19,16.05,16.27,16.02
2020-08-17,16.22,15.99,16.3,15.99
2020-08-14,16.02,15.98,16.08,15.9
2020-08-13,16.07,16.08,16.2,15.99
2020-12-08,16.11,16.1,16.2,16.02
2020-11-08,15.77,16.11,16.18,15.76
2020-10-08,15.92,15.93,16.04,15.88
2020-07-08,15.81,15.85,15.85,15.69
2020-06-08,15.97,16.12,16.15,15.95
2020-05-08,15.99,16.27,16.33,15.95
2020-04-08,15.74,15.49,15.92,15.48
2020-03-08,15.55,15.46,15.69,15.39
2020-07-31,15.38,15.38,15.4,15.14
2020-07-30,15.29,15.32,15.33,14.8
2020-07-29,15.6,15.6,15.67,15.54
2020-07-28,15.48,15.54,15.58,15.45
2020-07-27,15.66,15.45,15.72,15.26
2020-07-24,15.51,15.45,15.53,15.31
2020-07-23,15.45,15.54,15.72,15.3
2020-07-22,15.62,15.46,15.68,15.44
2020-07-21,15.59,15.72,15.84,15.55
2020-07-20,15.3,15.21,15.38,15.07
2020-07-17,15.3,15.32,15.37,15.15
2020-07-16,15.29,15.32,15.45,15.25
2020-07-15,15.39,15.28,15.47,15.17
2020-07-14,15.19,14.9,15.29,14.86
2020-07-13,15.0,15.26,15.31,14.97
2020-10-07,15.24,15.01,15.31,14.98
2020-09-07,14.95,15.26,15.3,14.86
2020-08-07,15.28,15.24,15.37,15.17
2020-07-07,15.11,15.15,15.32,15.1
2020-06-07,15.2,15.1,15.32,15.1
2020-02-07,15.07,15.07,15.22,14.89
2020-01-07,14.87,14.81,14.93,14.64
2020-06-30,14.74,14.63,14.95,14.61
2020-06-29,14.83,14.64,14.93,14.56
2020-06-26,14.37,14.55,14.58,14.29
2020-06-25,14.68,14.3,14.74,14.3
2020-06-24,14.35,14.9,15.02,14.15
2020-06-23,15.05,15.3,15.38,14.99
2020-06-22,15.14,14.89,15.19,14.84
2020-06-19,14.77,15.0,15.09,14.49
2020-06-18,14.62,14.34,14.7,14.34
2020-06-17,14.33,14.45,14.6,14.33
2020-06-16,14.56,14.66,14.9,14.25
2020-06-15,14.22,13.5,14.28,13.45
2020-12-06,13.94,14.02,14.12,13.68
2020-11-06,13.79,13.99,14.14,13.62
2020-10-06,14.73,14.55,15.04,14.41
2020-09-06,14.66,14.42,14.79,14.35
2020-08-06,14.5,14.75,14.82,14.46
2020-05-06,14.86,14.84,15.0,14.75
2020-04-06,14.25,14.12,14.38,14.06
2020-03-06,14.15,14.09,14.35,13.9
2020-02-06,14.12,13.8,14.14,13.76
2020-01-06,13.77,13.4,13.8,13.38
2020-05-29,13.59,12.94,13.78,12.87
2020-05-28,13.12,12.98,13.32,12.83
2020-05-27,12.98,13.21,13.25,12.81
2020-05-26,13.35,13.4,13.49,13.1
2020-05-22,13.12,12.99,13.13,12.66
2020-05-21,13.26,13.39,13.4,13.08
2020-05-20,13.08,12.92,13.17,12.87
2020-05-19,12.64,12.77,12.84,12.51
2020-05-18,12.75,12.62,12.92,12.51
2020-05-15,11.93,11.77,11.97,11.62
2020-05-14,11.54,11.17,11.65,11.11
2020-05-13,11.1,11.3,11.41,10.97
2020-12-05,11.21,11.42,11.44,11.16
2020-11-05,11.4,11.56,11.6,11.22
2020-08-05,11.62,11.4,11.7,11.14
