Date,Close/Last,Open,High,Low
2020-09-14,26.94,26.74,27.02,26.6
2020-11-09,27.04,26.92,27.27,26.73
2020-10-09,26.79,27.23,27.47,26.75
2020-09-09,27.41,26.84,27.69,26.71
2020-08-09,26.75,26.88,26.96,26.27
2020-04-09,28.51,29.42,29.45,28.4
2020-03-09,29.64,29.15,29.78,29.04
2020-02-09,29.86,30.58,30.6,29.59
2020-01-09,30.61,30.64,30.94,30.54
2020-08-31,30.58,30.9,30.9,30.39
2020-08-28,30.72,30.72,30.8,30.52
2020-08-27,30.67,30.89,30.9,30.27
2020-08-26,30.93,31.07,31.19,30.84
2020-08-25,30.92,30.97,31.02,30.59
2020-08-24,30.35,30.33,30.54,30.23
2020-08-21,30.18,30.0,30.24,29.64
2020-08-20,30.52,30.02,30.59,29.78
2020-08-19,30.66,30.59,30.82,30.41
2020-08-18,30.6,30.41,30.83,30.39
2020-08-17,30.77,30.24,30.85,30.22
2020-08-14,30.33,30.23,30.42,30.02
2020-08-13,30.4,30.48,30.66,30.26
2020-12-08,30.56,30.47,30.76,30.31
2020-11-08,29.82,30.6,30.66,29.82
2020-10-08,30.16,30.16,30.36,29.97
2020-07-08,29.85,29.89,29.92,29.58
2020-06-08,30.18,30.52,30.58,30.12
2020-05-08,30.23,30.84,31.02,30.15
2020-04-08,29.78,29.23,30.15,29.21
2020-03-08,29.34,29.15,29.65,29.03
2020-07-31,29.07,29.09,29.16,28.59
2020-07-30,28.93,28.99,29.01,27.9
2020-07-29,29.57,29.6,29.75,29.45
2020-07-28,29.35,29.46,29.54,29.27
2020-07-27,29.72,29.34,29.86,28.98
2020-07-24,29.44,29.37,29.51,29.06
2020-07-23,29.41,29.59,29.93,29.12
2020-07-22,29.75,29.44,29.89,29.36
2020-07-21,29.72,29.98,30.22,29.64
2020-07-20,29.12,28.9,29.25,28.59
2020-07-17,29.1,29.17,29.24,28.72
2020-07-16,29.16,29.18,29.43,29.03
2020-07-15,29.29,29.08,29.5,28.81
2020-07-14,28.88,28.23,29.08,28.16
2020-07-13,28.5,29.01,29.15,28.39
2020-10-07,29.03,28.48,29.17,28.41
2020-09-07,28.41,29.07,29.11,28.21
2020-08-07,29.18,29.03,29.29,28.84
2020-07-07,28.79,28.85,29.21,28.76
2020-06-07,28.96,28.79,29.26,28.77
2020-02-07,28.75,28.79,29.05,28.34
2020-01-07,28.35,28.3,28.51,27.93
2020-06-30,28.06,27.89,28.55,27.8
2020-06-29,28.27,27.81,28.47,27.62
2020-06-26,27.36,27.67,27.7,27.12
2020-06-25,27.94,27.18,28.05,27.09
2020-06-24,27.25,28.41,28.62,26.82
2020-06-23,28.72,29.3,29.42,28.59
2020-06-22,28.98,28.43,29.04,28.33
2020-06-19,28.23,28.66,28.86,27.54
2020-06-18,27.89,27.31,28.02,27.24
2020-06-17,27.28,27.47,27.75,27.17
2020-06-16,27.64,27.86,28.29,26.97
2020-06-15,26.98,25.47,27.07,25.36
2020-12-06,26.43,26.64,26.81,25.85
2020-11-06,26.36,26.8,27.17,25.94
2020-10-06,28.43,28.08,29.07,27.72
2020-09-06,28.42,28.07,28.55,27.68
2020-08-06,28.37,28.97,29.0,28.11
2020-05-06,28.87,28.59,29.19,28.37
2020-04-06,27.5,27.08,27.62,26.81
2020-03-06,27.12,27.17,27.53,26.65
2020-02-06,27.07,26.55,27.1,26.47
2020-01-06,26.22,25.72,26.47,25.56
2020-05-29,25.88,24.64,26.43,24.6
2020-05-28,25.03,24.84,25.58,24.55
2020-05-27,25.0,25.18,25.34,24.26
2020-05-26,25.66,25.93,25.99,25.33
2020-05-22,25.57,26.09,26.15,25.06
2020-05-21,26.6,26.5,27.49,25.88
2020-05-20,25.34,24.95,25.54,24.88
2020-05-19,24.44,24.47,24.71,24.04
2020-05-18,24.31,24.04,24.8,23.8
2020-05-15,22.39,21.95,22.61,21.68
2020-05-14,21.45,20.73,21.82,20.59
2020-05-13,20.6,21.05,21.31,20.3
2020-12-05,20.97,21.4,21.57,20.89
2020-11-05,21.17,21.53,21.6,20.76
2020-08-05,21.47,21.08,21.67,20.66
2020-07-05,20.47,21.88,21.91,20.27
2020-06-05,20.85,21.29,21.51,20.3
2020-05-05,21.51,20.76,21.79,20.74
2020-04-05,19.67,18.58,19.68,18.36
2020-01-05,18.86,19.12,19.18,18.42
2020-04-30,19.12,18.76,19.3,17.87
2020-04-29,18.0,18.01,18.22,17.46
2020-04-28,17.04,17.28,18.0,16.88
2020-04-27,17.52,18.4,18.4,17.04
2020-04-24,20.56,21.52,21.84,20.08
2020-04-23,21.12,21.44,22.96,20.8
2020-04-22,20.08,23.2,23.52,20.0
2020-04-21,22.48,25.52,27.2,18.48
2020-04-20,3.75,3.76,4.05,3.7
2020-04-17,4.21,4.15,4.26,4.1
2020-04-16,4.36,4.4,4.41,4.15
2020-04-15,4.43,4.43,4.47,4.3
2020-04-14,4.66,4.755,4.8,4.53
2020-04-13,4.93,4.965,5.07,4.85
2020-09-04,4.98,5.4,5.78,4.8
2020-08-04,5.37,5.08,5.4,4.94
2020-07-04,5.09,5.46,5.53,4.89
2020-06-04,5.48,5.62,5.707000000000002,5.37
2020-03-04,5.9,5.7,6.02,5.44
2020-02-04,5.11,4.58,5.67,4.5
2020-01-04,4.38,4.24,4.38,4.13
2020-03-31,4.21,4.37,4.37,4.16
2020-03-30,4.23,4.21,4.28,4.03
2020-03-27,4.47,4.515,4.53,4.33
2020-03-26,4.83,4.9,4.96,4.64
2020-03-25,5.08,4.89,5.16,4.75
2020-03-24,4.98,5.06,5.07,4.79
2020-03-23,4.88,4.77,4.9,4.525
2020-03-20,4.94,5.275,5.37,4.68
2020-03-19,5.37,4.79,5.67,4.6
2020-03-18,4.71,5.06,5.18,4.29
2020-03-17,5.71,6.04,6.15,5.63
2020-03-16,6.05,6.09,6.38,5.82
2020-03-13,6.96,6.89,7.13,6.54
2020-12-03,6.54,6.44,6.8,6.43
2020-11-03,6.94,7.02,7.09,6.8386
2020-10-03,7.24,7.09,7.33,6.855
2020-09-03,6.52,6.82,7.3,6.5
2020-06-03,8.73,9.26,9.27,8.6
2020-05-03,9.61,9.81,9.85,9.55
2020-04-03,9.86,10.105,10.13,9.76
2020-03-03,9.89,10.0,10.175,9.7233
2020-02-03,9.92,9.67,9.92,9.54
2020-02-28,9.45,9.42,9.5,9.17
2020-02-27,9.78,9.72,9.99,9.6
2020-02-26,10.19,10.38,10.55,10.105
2020-02-25,10.4,10.76,10.775,10.4
2020-02-24,10.74,10.63,10.805,10.55
