Date,Close/Last,Open,High,Low
2020-09-14,4008.43,3965.34,4018.85,3958.63
2020-09-11,3917.08,3948.53,3959.43,3875.37
2020-09-10,3925.39,4004.18,4038.17,3908.26
2020-09-09,3993.55,3955.57,4013.97,3932.95
2020-09-08,3917.07,3947.75,3982.15,3914.38
2020-09-04,4045.38,4079.79,4098.2,3955.46
2020-09-03,4078.31,4198.87,4208.23,4046.56
2020-09-02,4226.58,4182.48,4234.24,4165.61
2020-09-01,4170.33,4160.4,4175.86,4140.5
2020-08-31,4136.35,4104.54,4146.46,4102.23
2020-08-28,4112.1,4112.42,4113.1,4091.44
2020-08-27,4091.98,4100.35,4117.85,4070.5
2020-08-26,4086.49,4051.95,4088.72,4043.89
2020-08-25,4056.17,4033.36,4056.17,4022.34
2020-08-24,4026.75,4028.96,4029.3,4006.03
2020-08-21,4002.11,3989.08,4007.81,3986.02
2020-08-20,4000.94,3965.67,4007.55,3964.3
2020-08-19,3991.84,4021.88,4025.17,3983.87
2020-08-18,4042.25,4047.41,4050.66,4012.68
2020-08-17,4034.98,4003.91,4035.72,4001.51
2020-08-14,3982.28,3989.14,3993.28,3972.8
2020-08-13,3986.36,3977.85,4008.02,3974.55
2020-08-12,3975.43,3939.79,3986.0,3938.98
2020-08-11,3908.83,3963.13,3963.54,3902.43
2020-08-10,3957.5,3981.21,3982.42,3922.67
2020-08-07,3976.03,3976.41,3983.99,3939.87
2020-08-06,3980.76,3967.48,3981.44,3946.9
2020-08-05,3969.62,3972.95,3974.41,3960.25
2020-08-04,3962.84,3944.13,3962.86,3934.09
2020-08-03,3941.82,3924.7,3950.67,3912.34
2020-07-31,3908.39,3914.24,3916.62,3850.08
2020-07-30,3909.9,3890.54,3919.07,3867.23
2020-07-29,3919.65,3906.16,3932.75,3896.53
2020-07-28,3887.73,3922.6,3927.56,3884.53
2020-07-27,3920.9,3870.59,3924.5,3862.42
2020-07-24,3855.74,3856.05,3870.54,3831.3
2020-07-23,3883.81,3945.63,3956.98,3867.32
2020-07-22,3941.09,3926.12,3945.56,3909.42
2020-07-21,3918.24,3949.84,3955.14,3908.38
2020-07-20,3933.66,3898.2,3943.91,3885.38
2020-07-17,3897.9,3877.45,3908.08,3854.95
