Date,Close/Last,Open,High,Low
2020-09-14,6285.96,6271.42,6321.79,6243.03
2020-09-11,6172.09,6245.28,6278.78,6100.24
2020-09-10,6191.42,6340.04,6376.34,6159.83
2020-09-09,6294.84,6262.69,6334.87,6190.5
2020-09-08,6150.72,6186.49,6315.09,6145.16
2020-09-04,6435.31,6493.23,6560.17,6234.67
2020-09-03,6543.56,6791.23,6796.53,6490.01
2020-09-02,6915.12,6869.0,6936.26,6803.05
2020-09-01,6781.63,6691.49,6784.13,6676.36
2020-08-31,6651.3,6640.63,6673.99,6613.43
2020-08-28,6658.12,6595.24,6661.98,6593.27
2020-08-27,6557.04,6624.59,6624.59,6515.65
2020-08-26,6611.03,6550.2,6623.74,6528.83
2020-08-25,6515.61,6462.9,6516.15,6447.63
2020-08-24,6458.27,6474.69,6492.34,6419.83
2020-08-21,6408.71,6376.19,6411.64,6355.5
2020-08-20,6400.13,6310.81,6413.12,6308.84
2020-08-19,6358.49,6397.95,6418.73,6347.33
2020-08-18,6384.52,6401.04,6414.91,6355.26
2020-08-17,6372.03,6343.34,6389.01,6341.46
2020-08-14,6304.57,6326.35,6363.52,6287.42
2020-08-13,6332.94,6341.77,6382.21,6309.64
2020-08-12,6360.46,6266.99,6375.37,6264.59
2020-08-11,6224.3,6302.73,6344.1,6211.55
2020-08-10,6310.44,6330.07,6337.15,6222.12
2020-08-07,6330.84,6388.97,6406.93,6266.49
2020-08-06,6415.15,6387.5,6418.74,6348.22
2020-08-05,6424.57,6429.56,6448.2,6396.84
2020-08-04,6434.51,6408.8,6434.91,6363.23
2020-08-03,6379.6,6348.79,6389.19,6337.63
2020-07-31,6300.77,6291.09,6301.42,6188.89
2020-07-30,6271.73,6152.75,6277.58,6133.81
2020-07-29,6202.32,6136.8,6223.58,6132.35
2020-07-28,6087.28,6147.19,6162.86,6084.13
2020-07-27,6178.72,6093.18,6185.06,6086.52
2020-07-24,6056.31,6059.28,6118.98,6012.66
2020-07-23,6160.96,6251.65,6314.64,6127.07
2020-07-22,6270.14,6272.08,6313.51,6234.28
2020-07-21,6251.93,6335.73,6335.73,6230.46
2020-07-20,6300.96,6153.37,6313.43,6131.35
2020-07-17,6146.18,6119.23,6158.62,6084.29
2020-07-16,6097.32,6070.58,6114.82,6033.24
2020-07-15,6136.15,6157.37,6169.65,6058.72
2020-07-14,6122.22,6004.52,6128.67,5934.47
2020-07-13,6063.25,6277.04,6301.38,6055.01
2020-07-10,6204.61,6215.08,6221.86,6134.74
2020-07-09,6212.35,6194.92,6239.2,6101.11
2020-07-08,6145.35,6114.07,6147.59,6064.36
2020-07-07,6065.78,6105.61,6168.17,6060.24
2020-07-06,6124.41,6100.41,6159.84,6092.98
2020-07-02,5997.08,6010.91,6043.36,5988.6
2020-07-01,5948.33,5951.41,5984.32,5914.36
2020-06-30,5960.27,5857.42,5978.66,5854.87
2020-06-29,5834.06,5796.61,5835.81,5714.19
2020-06-26,5787.84,5863.79,5871.44,5747.86
2020-06-25,5864.11,5804.89,5870.42,5733.78
2020-06-24,5808.34,5917.7,5945.87,5775.01
2020-06-23,5942.02,5968.26,6000.71,5933.85
2020-06-22,5922.39,5865.66,5925.16,5839.88
2020-06-19,5872.05,5950.74,5976.27,5840.67
2020-06-18,5888.18,5865.28,5899.39,5848.86
2020-06-17,5878.95,5888.63,5927.86,5861.98
2020-06-16,5857.87,5895.48,5928.82,5775.49
2020-06-15,5729.98,5551.19,5743.55,5528.97
2020-06-12,5662.47,5728.35,5759.22,5552.42
2020-06-11,5577.63,5797.87,5818.95,5577.05
2020-06-10,5937.96,5946.41,5984.22,5916.89
2020-06-09,5915.05,5887.55,5946.58,5878.98
2020-06-08,5934.03,5911.33,5935.7,5855.87
2020-06-05,5915.47,5832.49,5964.61,5821.71
2020-06-04,5760.52,5751.84,5824.92,5720.73
2020-06-03,5783.06,5741.31,5800.32,5734.44
2020-06-02,5675.23,5621.62,5677.26,5570.07
2020-06-01,5610.49,5585.01,5634.69,5572.78
2020-05-29,5619.86,5516.65,5631.15,5481.13
2020-05-28,5499.21,5527.1,5622.05,5486.28
2020-05-27,5547.1,5491.51,5547.8,5364.01
2020-05-26,5493.2,5575.03,5588.8,5486.94
2020-05-22,5453.3,5420.59,5456.99,5375.14
2020-05-21,5432.77,5505.96,5523.36,5415.91
2020-05-20,5513.5,5461.47,5542.91,5460.54
2020-05-19,5370.01,5377.82,5460.66,5369.02
2020-05-18,5366.88,5306.84,5387.23,5297.98
2020-05-15,5193.21,5107.47,5200.97,5101.77
2020-05-14,5225.57,5076.1,5227.43,5009.26
2020-05-13,5124.94,5236.36,5275.0,5055.49
2020-05-12,5236.09,5391.38,5405.45,5234.94
2020-05-11,5366.34,5311.86,5401.22,5308.52
2020-05-08,5355.32,5290.97,5357.87,5263.73
2020-05-07,5245.13,5261.61,5280.34,5223.86
2020-05-06,5186.01,5191.01,5246.25,5162.92
2020-05-05,5140.95,5121.42,5203.28,5117.69
2020-05-04,5048.18,4977.3,5051.94,4953.79
2020-05-01,4999.58,5089.35,5113.78,4979.01
2020-04-30,5234.0,5316.64,5316.64,5222.3
2020-04-29,5338.01,5225.07,5355.34,5209.94
2020-04-28,5125.77,5282.14,5287.96,5122.54
2020-04-27,5198.8,5195.47,5228.79,5179.37
2020-04-24,5134.99,5054.03,5140.18,5008.56
2020-04-23,5035.21,5063.9,5119.0,5026.31
2020-04-22,5079.41,4990.72,5104.5,4975.21
2020-04-21,4856.8,5004.56,5015.74,4834.64
2020-04-20,5076.43,5084.48,5163.6,5075.12
2020-04-17,5156.76,5179.81,5181.43,5095.13
2020-04-16,5086.88,5057.26,5101.79,4998.42
2020-04-15,4992.71,4990.65,5027.39,4940.91
2020-04-14,5095.82,5001.91,5101.82,4997.67
2020-04-13,4892.85,4840.43,4897.41,4807.26
2020-04-09,4872.04,4953.86,4993.33,4836.12
2020-04-08,4905.42,4817.59,4920.74,4767.18
2020-04-07,4757.95,4929.57,4929.74,4752.23
2020-04-06,4783.16,4578.61,4800.69,4548.84
2020-04-03,4378.9,4447.49,4484.88,4337.4
2020-04-02,4459.01,4336.92,4482.24,4336.92
2020-04-01,4378.75,4434.91,4539.87,4341.62
2020-03-31,4606.71,4667.55,4741.03,4579.06
2020-03-30,4687.48,4556.37,4696.5,4534.72
2020-03-27,4502.7,4562.49,4641.59,4495.42
2020-03-26,4726.88,4500.0,4733.67,4500.0
2020-03-25,4441.51,4479.19,4639.44,4370.55
2020-03-24,4478.83,4332.85,4479.13,4314.41
2020-03-23,4091.46,4057.34,4170.28,3946.87
2020-03-20,4030.77,4261.57,4342.41,4025.76
2020-03-19,4178.29,4063.65,4274.91,3969.4
2020-03-18,4072.6,4057.98,4246.61,3905.49
2020-03-17,4373.62,4139.58,4389.62,3980.07
2020-03-16,4043.34,4322.44,4397.2,4033.03
2020-03-13,4660.58,4504.49,4661.12,4241.63
2020-03-12,4229.47,4348.96,4557.06,4226.32
2020-03-11,4694.43,4786.96,4837.29,4633.68
2020-03-10,4928.09,4853.29,4929.05,4675.53
2020-03-09,4690.86,4689.54,4900.2,4684.41
2020-03-06,5086.42,5031.31,5122.84,4958.08
2020-03-05,5197.42,5209.36,5314.81,5158.54
2020-03-04,5367.52,5227.14,5367.71,5180.32
2020-03-03,5138.99,5308.14,5382.94,5093.88
2020-03-02,5314.01,5189.26,5315.59,5082.2
2020-02-28,5135.31,4903.32,5146.43,4903.32
2020-02-27,5077.97,5149.61,5272.98,5075.33
2020-02-26,5325.34,5364.17,5448.71,5296.6
2020-02-25,5320.84,5545.37,5552.15,5299.81
2020-02-24,5481.01,5466.68,5554.14,5458.1
2020-02-21,5723.17,5834.77,5844.11,5696.01
2020-02-20,5872.84,5929.75,5944.99,5791.03
2020-02-19,5954.62,5919.94,5968.6,5919.9
2020-02-18,5867.2,5840.07,5874.64,5835.88
2020-02-14,5907.67,5937.44,5942.53,5878.9
