Date, Close/Last, Volume, Open, High, Low
2020-09-14,473.5, 17774,470.0,476.25,469.25
2020-09-11,471.25, 22640,478.0,479.5,469.0
2020-09-10,474.0, 33027,471.0,485.25,469.75
2020-09-09,471.0, 18648,468.0,475.0,466.5
2020-09-08,469.5, 25509,470.0,473.25,467.5
2020-09-04,472.5, 17733,476.0,479.25,470.25
2020-09-03,475.75, 20228,480.0,482.25,474.75
2020-09-02,479.25, 30530,486.25,487.75,476.5
2020-09-01,485.5, 42029,475.0,490.75,473.5
2020-08-31,475.25, 37223,470.75,485.25,470.75
2020-08-28,473.0, 31201,471.75,474.75,468.5
2020-08-27,472.25, 44559,460.0,476.0,459.25
2020-08-26,461.25, 31007,454.75,462.0,448.75
2020-08-25,455.5, 37381,446.5,462.75,446.5
2020-08-24,446.25, 31207,456.0,460.75,443.25
2020-08-21,456.75, 28111,451.0,458.0,448.0
2020-08-20,452.75, 26246,448.5,453.0,442.75
2020-08-19,449.0, 22329,439.25,450.25,439.25
2020-08-18,441.5, 28790,448.0,448.25,437.5
2020-08-17,448.5, 36171,436.75,450.0,436.25
2020-08-14,435.75, 38848,434.0,443.75,433.0
2020-08-13,436.0, 23277,428.25,438.0,427.25
2020-08-12,417.75, 47048,416.25,420.0,412.5
2020-08-11,416.75, 52724,413.25,421.5,413.25
2020-08-10,414.0, 24844,415.0,417.25,410.0
2020-08-07,415.5, 51667,417.0,420.0,409.75
2020-08-06,417.25, 30810,426.0,426.25,414.75
2020-08-05,426.5, 21870,423.0,427.5,422.25
2020-08-04,422.25, 28138,431.5,431.5,421.75
2020-08-03,430.75, 31768,438.5,439.5,426.25
2020-07-31,442.5, 15454,440.0,445.25,439.5
2020-07-30,440.0, 22673,445.5,447.0,438.25
2020-07-29,445.75, 26881,436.75,446.25,436.75
2020-07-28,436.75, 22861,439.5,442.75,433.25
2020-07-27,439.5, 18881,447.0,449.0,438.25
2020-07-24,449.5, 27158,441.5,455.25,440.25
2020-07-23,441.25, 21392,448.0,449.25,441.0
2020-07-22,448.5, 18143,441.25,452.0,439.75
2020-07-21,442.5, 20396,435.0,444.25,433.75
2020-07-20,435.0, 28051,449.0,450.5,432.0
2020-07-17,448.75, 19176,451.25,454.25,445.0
2020-07-16,448.75, 31533,459.5,462.75,445.0
2020-07-15,459.5, 40397,442.0,460.25,441.0
2020-07-14,442.25, 24803,449.0,457.75,442.0
2020-07-13,449.0, 25353,446.5,457.5,443.0
2020-07-10,452.0, 44992,456.0,459.5,446.75
2020-07-09,455.75, 34446,456.0,464.25,454.75
2020-07-08,456.75, 42893,440.75,457.75,440.25
2020-07-07,440.75, 16742,439.0,444.0,436.5
2020-07-06,438.5, 21566,439.5,440.5,433.25
2020-07-02,434.0, 14717,441.25,443.75,432.75
2020-07-01,442.75, 21129,439.25,443.75,435.0
2020-06-30,439.75, 31304,435.75,450.5,433.0
2020-06-29,436.5, 29635,428.75,438.5,428.75
2020-06-26,427.75, 38181,433.5,435.25,423.75
2020-06-25,437.75, 24396,439.5,441.25,434.5
2020-06-24,439.75, 19921,444.0,446.25,439.0
2020-06-23,443.5, 25058,439.0,444.5,434.25
2020-06-22,439.75, 22506,436.5,441.25,435.25
2020-06-19,436.25, 30727,436.5,440.75,435.5
2020-06-18,436.75, 26757,440.75,446.5,436.5
2020-06-17,441.0, 24774,444.75,445.25,439.5
2020-06-16,447.0, 25868,454.5,458.0,441.0
2020-06-15,454.25, 23959,456.0,456.0,450.75
2020-06-12,448.5, 33708,446.5,453.75,445.0
2020-06-11,447.0, 39496,456.75,458.25,445.25
2020-06-10,457.5, 26699,457.75,464.75,455.75
2020-06-09,457.75, 34402,460.0,463.75,453.75
2020-06-08,460.5, 29251,463.0,466.0,457.5
2020-06-05,461.25, 38593,473.5,476.0,459.5
2020-06-04,472.25, 33262,457.0,476.75,457.0
2020-06-03,457.75, 20915,452.5,459.75,450.25
2020-06-02,450.75, 27074,462.5,464.0,450.0
2020-06-01,462.5, 22926,469.75,470.0,457.75
2020-05-29,470.5, 22993,464.0,473.0,462.75
2020-05-28,464.0, 26343,451.25,468.25,451.0
2020-05-27,451.75, 19253,448.0,454.25,446.25
2020-05-26,447.25, 21820,442.0,452.25,441.0
2020-05-22,444.5, 20122,453.5,454.75,443.5
2020-05-21,454.5, 24681,454.0,460.75,449.25
2020-05-20,453.25, 30990,441.5,454.0,438.75
2020-05-19,441.5, 21157,447.5,449.25,440.25
2020-05-18,446.25, 20394,454.25,455.5,444.5
2020-05-15,452.25, 22324,451.75,457.0,450.25
2020-05-14,451.75, 22864,453.25,455.75,447.0
2020-05-13,454.25, 24916,469.25,469.25,453.5
2020-05-12,469.25, 22275,476.75,477.5,464.0
2020-05-11,475.0, 14769,482.5,486.25,474.0
2020-05-08,480.0, 15593,478.25,483.25,473.25
2020-05-07,478.75, 15384,477.25,488.25,477.0
2020-05-06,477.5, 13025,483.0,484.0,474.75
2020-05-05,484.0, 20110,484.5,487.25,475.5
2020-05-04,487.0, 17413,481.0,488.5,475.25
2020-05-01,483.0, 13850,487.5,487.5,478.0
2020-04-30,488.0, 21185,477.25,489.25,469.75
2020-04-29,477.0, 28453,483.75,486.0,471.5
2020-04-28,483.75, 22401,483.5,489.0,478.5
