Date, Close/Last, Volume, Open, High, Low
2020-09-14,10739.2, N/A,10352.1,10832.3,10652.9
2020-09-13,10353.0, N/A,10551.7,10369.3,10264.5
2020-09-12,10546.3, N/A,10344.1,10556.3,10411.2
2020-09-11,10351.7, N/A,10218.4,10393.5,10326.0
2020-09-10,10222.9, N/A,10377.4,10377.5,10212.6
2020-09-09,10365.6, N/A,10028.2,10408.9,10219.2
2020-09-08,10000.4, N/A,10305.4,10149.0,9984.6
2020-09-07,10305.7, N/A,10205.3,10434.4,10305.5
2020-09-06,10195.3, N/A,10169.2,10296.4,10193.9
2020-09-05,10169.7, N/A,10411.5,10239.9,10067.4
2020-09-04,10432.4, N/A,10249.0,10558.7,10392.3
2020-09-03,10249.6, N/A,11375.5,10329.9,10098.1
2020-09-02,11375.1, N/A,11830.2,11437.4,11359.0
2020-09-01,11844.4, N/A,11682.8,11947.5,11821.6
2020-08-31,11674.8, N/A,11669.1,11692.0,11544.6
2020-08-30,11668.4, N/A,11603.0,11712.2,11659.3
2020-08-29,11600.8, N/A,11502.0,11623.6,11462.6
2020-08-28,11496.2, N/A,11379.3,11539.8,11468.2
2020-08-27,11368.0, N/A,11390.2,11396.1,11281.9
2020-08-26,11401.6, N/A,11365.2,11479.7,11367.4
2020-08-25,11350.2, N/A,11673.4,11401.0,11256.8
2020-08-24,11690.4, N/A,11675.2,11766.9,11661.1
2020-08-23,11666.8, N/A,11596.5,11681.1,11587.1
2020-08-22,11591.8, N/A,11476.6,11680.5,11583.3
2020-08-21,11468.1, N/A,11867.5,11536.9,11382.1
2020-08-20,11847.5, N/A,11697.0,11877.4,11783.6
2020-08-19,11718.0, N/A,11834.5,11822.2,11703.4
2020-08-18,11855.9, N/A,12298.3,12013.2,11844.8
2020-08-17,12283.0, N/A,11838.0,12381.4,12273.5
2020-08-16,11857.3, N/A,11917.5,11919.7,11764.0
2020-08-15,11904.6, N/A,11876.0,11909.7,11782.7
2020-08-14,11865.4, N/A,11720.7,11962.9,11750.7
2020-08-13,11735.7, N/A,11573.4,11820.3,11668.5
2020-08-12,11575.9, N/A,11370.5,11652.1,11536.3
2020-08-11,11354.3, N/A,11831.1,11408.8,11233.3
2020-08-10,11823.1, N/A,11998.9,11931.8,11819.0
2020-08-09,12008.2, N/A,11735.5,12041.1,11681.1
2020-08-08,11743.6, N/A,11550.1,11792.8,11669.7
2020-08-07,11549.1, N/A,11827.6,11650.4,11537.6
2020-08-06,11850.5, N/A,11651.1,11901.8,11740.0
2020-08-05,11653.3, N/A,11233.6,11790.2,11606.3
2020-08-04,11221.5, N/A,11259.8,11228.3,11114.5
2020-08-03,11254.1, N/A,11132.5,11407.8,11222.2
2020-08-02,11157.1, N/A,11968.2,11202.7,10981.6
2020-08-01,11941.5, N/A,11360.7,11943.4,11754.8
2020-07-31,11387.8, N/A,10972.3,11394.3,11226.1
2020-07-30,10980.8, N/A,10987.6,11124.4,10964.6
2020-07-29,10999.0, N/A,10970.9,11114.4,10959.9
2020-07-28,10956.7, N/A,10964.8,10989.8,10771.8
2020-07-27,10935.6, N/A,10196.0,11229.1,10854.2
2020-07-26,10192.0, N/A,9666.2,10211.2,9894.6
2020-07-25,9666.3, N/A,9582.9,9690.7,9645.9
2020-07-24,9589.0, N/A,9559.9,9612.7,9536.2
2020-07-23,9560.0, N/A,9489.5,9599.8,9545.0
2020-07-22,9488.8, N/A,9360.7,9522.9,9470.7
2020-07-21,9361.9, N/A,9179.7,9389.0,9353.7
2020-07-20,9178.4, N/A,9190.7,9194.6,9155.1
2020-07-19,9188.5, N/A,9156.1,9218.4,9177.0
2020-07-18,9157.0, N/A,9138.1,9179.7,9144.6
2020-07-17,9139.4, N/A,9119.5,9167.0,9128.1
2020-07-16,9110.1, N/A,9202.3,9141.4,9107.6
2020-07-15,9200.1, N/A,9234.7,9224.2,9183.0
2020-07-14,9242.1, N/A,9219.9,9270.2,9240.2
2020-07-13,9224.1, N/A,9272.7,9245.6,9219.0
2020-07-12,9274.2, N/A,9271.1,9319.9,9270.1
2020-07-11,9276.5, N/A,9268.0,9286.0,9232.0
2020-07-10,9263.8, N/A,9224.9,9295.5,9261.6
2020-07-09,9215.5, N/A,9385.3,9239.6,9206.5
2020-07-08,9382.5, N/A,9309.3,9434.5,9361.3
2020-07-07,9300.5, N/A,9293.0,9319.9,9233.1
2020-07-06,9299.5, N/A,9090.1,9371.2,9266.3
2020-07-05,9088.7, N/A,9133.8,9114.1,9063.2
2020-07-04,9134.9, N/A,9084.2,9149.6,9114.0
2020-07-03,9086.1, N/A,9097.4,9100.0,9053.0
2020-07-02,9202.0, N/A,9150.6,9259.7,9179.5
2020-07-01,9233.4, N/A,9134.9,9259.7,9225.2
2020-06-30,9124.2, N/A,9166.4,9148.0,9101.1
2020-06-29,9171.7, N/A,9101.3,9199.8,9158.7
2020-06-28,9104.5, N/A,8971.0,9148.6,9097.1
2020-06-27,8970.6, N/A,9161.7,9008.2,8950.2
2020-06-26,9163.1, N/A,9245.1,9179.8,9113.9
2020-06-25,9249.4, N/A,9098.7,9296.5,9194.3
2020-06-24,9074.7, N/A,9649.9,9306.0,9022.6
2020-06-23,9645.9, N/A,9655.5,9663.7,9614.8
2020-06-22,9651.7, N/A,9383.5,9715.6,9609.3
2020-06-21,9378.5, N/A,9371.1,9395.2,9285.8
2020-06-20,9362.0, N/A,9332.0,9397.7,9349.1
2020-06-19,9331.8, N/A,9280.8,9350.1,9294.2
2020-06-18,9267.9, N/A,9428.9,9390.3,9249.6
2020-06-17,9436.3, N/A,9461.9,9468.8,9403.4
2020-06-16,9461.8, N/A,9558.0,9532.3,9423.8
2020-06-15,9549.2, N/A,9166.7,9570.7,9379.3
2020-06-14,9438.5, N/A,9419.3,9474.7,9387.5
2020-06-13,9431.5, N/A,9411.4,9474.7,9428.7
2020-06-12,9421.4, N/A,9365.1,9475.8,9415.5
2020-06-11,9381.5, N/A,9887.3,9391.3,9249.4
2020-06-10,9878.7, N/A,9753.7,9945.2,9871.0
2020-06-09,9754.2, N/A,9679.4,9805.8,9745.0
2020-06-08,9682.9, N/A,9724.4,9857.2,9616.6
2020-06-07,9718.6, N/A,9689.0,9770.5,9708.5
2020-06-06,9697.6, N/A,9631.3,9701.9,9637.3
2020-06-05,9616.2, N/A,9794.5,9629.3,9549.5
2020-06-04,9555.0, N/A,9527.4,9686.1,9537.6
2020-06-03,9681.7, N/A,9494.1,9686.1,9617.6
2020-06-02,9496.0, N/A,10093.9,9538.1,9483.4
2020-06-01,10080.8, N/A,9552.8,10207.3,10050.4
2020-05-31,9554.4, N/A,9533.1,9695.6,9529.8
2020-05-30,9587.2, N/A,9394.5,9695.6,9567.5
2020-05-29,9380.9, N/A,9519.9,9428.5,9352.7
2020-05-28,9525.3, N/A,9173.1,9596.5,9468.1
2020-05-27,9170.4, N/A,8831.8,9268.8,9168.8
2020-05-26,8850.5, N/A,8901.8,8891.0,8818.6
2020-05-25,8918.6, N/A,8786.4,8922.9,8836.6
2020-05-24,8773.7, N/A,9195.4,8817.9,8666.1
2020-05-23,9201.0, N/A,9284.2,9229.5,9129.7
2020-05-22,9275.5, N/A,8995.1,9303.2,9169.7
2020-05-21,8998.3, N/A,9479.3,9129.2,8983.7
2020-05-20,9477.8, N/A,9721.8,9567.1,9463.1
2020-05-19,9722.1, N/A,9537.9,9788.8,9708.4
2020-05-18,9524.6, N/A,9856.6,9737.8,9524.6
2020-05-17,9856.5, N/A,9543.2,9930.2,9678.9
2020-05-16,9559.1, N/A,9411.1,9570.4,9327.8
2020-05-15,9419.9, N/A,9483.6,9451.9,9233.0
2020-05-14,9497.4, N/A,9338.5,9819.6,9319.3
2020-05-13,9329.9, N/A,8908.7,9364.5,9265.8
2020-05-12,8913.3, N/A,8717.0,8964.7,8799.1
2020-05-11,8727.8, N/A,8697.6,8729.7,8542.8
2020-05-10,8659.3, N/A,9753.0,9569.4,8259.3
2020-05-09,8635.1, N/A,9868.2,9569.4,8259.3
2020-05-08,9873.7, N/A,9914.8,9910.5,9747.2
2020-05-07,9925.1, N/A,9271.8,10018.2,9845.8
2020-05-06,9263.6, N/A,8962.9,9338.2,9064.8
2020-05-05,8995.9, N/A,8855.8,9038.2,8923.6
2020-05-04,8870.5, N/A,8728.4,8920.7,8831.4
2020-05-03,8747.9, N/A,9131.1,8926.2,8665.7
2020-05-02,9137.7, N/A,8840.9,9169.9,8935.0
2020-05-01,8845.2, N/A,8672.4,8858.9,8775.4
2020-04-30,8673.9, N/A,9279.1,8758.1,8621.0
2020-04-29,9185.7, N/A,7809.1,9187.7,8717.3
2020-04-28,7801.0, N/A,7708.9,7822.6,7729.7
2020-04-27,7706.2, N/A,7725.3,7770.1,7674.0
2020-04-26,7723.7, N/A,7569.6,7768.4,7676.1
2020-04-25,7569.2, N/A,7512.2,7586.4,7527.0
2020-04-24,7510.2, N/A,7520.8,7516.9,7451.0
2020-04-23,7520.8, N/A,7113.7,7541.5,7474.3
2020-04-22,7129.2, N/A,6856.8,7169.6,7092.2
2020-04-21,6852.0, N/A,6858.2,6879.7,6821.8
2020-04-20,6854.9, N/A,7162.5,6907.7,6818.9
