Date, Close/Last, Volume, Open, High, Low
2020-09-14,1.0018, N/A,1.001,1.0018,1.0008
2020-09-13,1.001, N/A,1.0017,1.0013,1.0004
2020-09-12,1.0016, N/A,1.0011,1.0017,1.0012
2020-09-11,1.0012, N/A,1.0011,1.0016,1.001
2020-09-10,1.0012, N/A,1.002,1.0017,1.0008
2020-09-09,1.0021, N/A,1.0019,1.0025,1.001
2020-09-08,1.002, N/A,1.0022,1.0022,1.0015
2020-09-07,1.0021, N/A,1.0014,1.0028,1.0014
2020-09-06,1.0016, N/A,1.0026,1.0023,1.0013
2020-09-05,1.0026, N/A,1.0028,1.003,1.0024
2020-09-04,1.0028, N/A,1.0012,1.0029,1.0023
2020-09-03,1.0011, N/A,1.0008,1.0022,1.0006
2020-09-02,1.0008, N/A,1.0015,1.0013,1.0007
2020-09-01,1.0014, N/A,1.0017,1.0019,1.0013
2020-08-31,1.0018, N/A,1.0023,1.002,1.0009
2020-08-30,1.0023, N/A,1.0017,1.0026,1.0012
2020-08-29,1.0018, N/A,1.0013,1.002,1.0014
2020-08-28,1.0013, N/A,1.0013,1.0017,1.0011
2020-08-27,1.0014, N/A,1.0014,1.0019,1.0012
2020-08-26,1.0015, N/A,1.0006,1.0016,1.0012
2020-08-25,1.0008, N/A,1.0009,1.0015,1.0005
2020-08-24,1.001, N/A,1.0013,1.0013,1.0005
2020-08-23,1.0013, N/A,1.0013,1.0015,1.0008
2020-08-22,1.0014, N/A,1.0004,1.0017,1.0008
2020-08-21,1.0004, N/A,1.001,1.001,1.0001
2020-08-20,1.0012, N/A,1.0014,1.0024,1.0009
2020-08-19,1.0013, N/A,1.0012,1.0023,1.001
2020-08-18,1.0014, N/A,1.0019,1.0018,1.001
2020-08-17,1.0022, N/A,1.0012,1.0022,1.0014
2020-08-16,1.001, N/A,1.0012,1.0019,1.0006
2020-08-15,1.0013, N/A,1.0012,1.0018,1.0011
2020-08-14,1.0012, N/A,1.002,1.0015,1.0002
2020-08-13,1.0016, N/A,1.0002,1.0024,1.0015
2020-08-12,1.0001, N/A,0.9995,1.0019,0.9993
2020-08-11,0.9994, N/A,1.0007,0.9999,0.9991
2020-08-10,1.0006, N/A,1.0012,1.001,1.0003
2020-08-09,1.0012, N/A,1.0003,1.0012,0.9996
2020-08-08,1.0002, N/A,0.9997,1.0007,0.9998
2020-08-07,0.9997, N/A,1.0,1.0002,0.9992
2020-08-06,0.9999, N/A,1.0001,1.0002,0.9997
2020-08-05,1.0001, N/A,0.9995,1.0009,0.9998
2020-08-04,0.9995, N/A,0.9999,1.0001,0.9993
2020-08-03,0.9999, N/A,0.9996,1.0003,0.9994
2020-08-02,0.9996, N/A,0.9996,1.0001,0.9990000000000001
2020-08-01,0.9996, N/A,1.0008,1.0004,0.9995
2020-07-31,1.0007, N/A,1.0018,1.0014,1.0003
2020-07-30,1.0019, N/A,1.0018,1.0022,1.0017
2020-07-29,1.0016, N/A,1.0018,1.002,1.0011
2020-07-28,1.0016, N/A,1.0017,1.0022,1.0015
2020-07-27,1.0017, N/A,1.0023,1.0021,1.0014
2020-07-26,1.0023, N/A,1.002,1.0024,1.0014
2020-07-25,1.002, N/A,1.0022,1.002,1.0011
2020-07-24,1.0022, N/A,1.0012,1.0024,1.0019
2020-07-23,1.0012, N/A,1.0024,1.0015,1.0011
2020-07-22,1.0024, N/A,1.0021,1.0027,1.0022
2020-07-21,1.0021, N/A,1.0013,1.0022,1.0017
2020-07-20,1.0014, N/A,1.0016,1.0017,1.0012
2020-07-19,1.0016, N/A,1.0012,1.0022,1.0013
2020-07-18,1.0011, N/A,1.001,1.0018,1.0011
2020-07-17,1.0011, N/A,1.0012,1.0015,1.0007
2020-07-16,1.0013, N/A,1.0007,1.0014,1.0004
2020-07-15,1.0007, N/A,1.0011,1.0009,0.9999
2020-07-14,1.001, N/A,1.0007,1.0012,1.0003
2020-07-13,1.0008, N/A,1.0015,1.0011,1.0007
2020-07-12,1.0015, N/A,1.0014,1.0016,1.001
2020-07-11,1.0015, N/A,1.0015,1.0016,1.0008
2020-07-10,1.0015, N/A,1.0009,1.0016,1.0008
2020-07-09,1.0009, N/A,1.0013,1.0014,1.0007
2020-07-08,1.0013, N/A,1.0013,1.0018,1.0011
2020-07-07,1.0012, N/A,1.001,1.0015,1.001
2020-07-06,1.001, N/A,1.0013,1.0013,1.0008
2020-07-05,1.0012, N/A,1.0016,1.0016,1.0012
2020-07-04,1.0016, N/A,1.0009,1.0017,1.001
2020-07-03,1.001, N/A,1.0006,1.0011,1.0007
2020-07-02,1.0004, N/A,1.0004,1.0007,1.0002
2020-07-01,1.0004, N/A,1.0006,1.0007,1.0004
2020-06-30,1.0007, N/A,1.0004,1.0008,1.0003
2020-06-29,1.0004, N/A,1.0004,1.0006,0.9999
2020-06-28,1.0004, N/A,1.0005,1.001,1.0001
2020-06-27,1.0006, N/A,1.0004,1.0008,1.0004
2020-06-26,1.0004, N/A,1.0005,1.001,1.0001
2020-06-25,1.0005, N/A,1.0,1.0012,1.0001
2020-06-24,1.0, N/A,1.0013,1.0006,0.9999
2020-06-23,1.0013, N/A,1.0005,1.0015,1.0008
2020-06-22,1.0005, N/A,1.0003,1.0012,1.0004
2020-06-21,1.0002, N/A,1.0011,1.0008,0.9999
2020-06-20,1.0011, N/A,1.0005,1.0013,1.001
2020-06-19,1.0006, N/A,1.0,1.0008,0.9995
2020-06-18,0.9999, N/A,1.0006,1.0008,0.9999
2020-06-17,1.0006, N/A,1.0006,1.0009,1.0006
