Date, Close/Last, Volume, Open, High, Low
2020-09-14,5.2708, N/A,5.2706,5.2725,5.2708
2020-09-13,5.3191, N/A,5.3191,5.3191,5.3191
2020-09-11,5.3172, N/A,5.3210000000000015,5.3487,5.2598
2020-09-10,5.3214, N/A,5.3210000000000015,5.3217,5.3214
2020-09-09,5.3095, N/A,5.3078,5.3095,5.3083
2020-09-08,5.3614, N/A,5.3638,5.3618,5.3614
2020-09-07,5.2998, N/A,5.2998,5.2998,5.2998
2020-09-04,5.3035, N/A,5.2914,5.327000000000001,5.2477
2020-09-03,5.2911, N/A,5.2914,5.2922,5.2911
2020-09-02,5.3421, N/A,5.3403,5.3433,5.3421
2020-09-01,5.3987, N/A,5.396,5.3987,5.3963
2020-08-31,5.4927, N/A,5.4914,5.4938,5.4927
2020-08-28,5.3906, N/A,5.5691,5.5702,5.3863
2020-08-27,5.5701, N/A,5.5691,5.5701,5.567
2020-08-26,5.606, N/A,5.6054,5.6323,5.5089999999999995
2020-08-25,5.5089999999999995, N/A,5.5075,5.5089999999999995,5.5089999999999995
2020-08-24,5.6115, N/A,5.61,5.6116,5.6115
2020-08-21,5.6185, N/A,5.5568,5.6323,5.5555
2020-08-20,5.5605, N/A,5.5568,5.5605,5.5603
2020-08-19,5.5578, N/A,5.5575,5.5579,5.5578
2020-08-18,5.4673, N/A,5.4666,5.4679,5.4673
2020-08-17,5.5085, N/A,5.5089999999999995,5.5113,5.5085
2020-08-14,5.4228, N/A,5.369,5.4406,5.3587
2020-08-13,5.3698, N/A,5.369,5.4362,5.3495
2020-08-12,5.4356, N/A,5.4333,5.4356,5.4334
2020-08-11,5.3819, N/A,5.38,5.3819,5.3815
2020-08-10,5.4809, N/A,5.4812,5.4809,5.4806
2020-08-07,5.4373, N/A,5.3315,5.4382,5.3323
2020-08-06,5.3327, N/A,5.3315,5.3327,5.3323
2020-08-05,5.2915, N/A,5.2902,5.2934,5.2915
2020-08-04,5.2912, N/A,5.29,5.2912,5.2912
2020-08-03,5.3205, N/A,5.3213,5.3232,5.3205
2020-07-31,5.2212, N/A,5.1534,5.2291,5.1531
2020-07-30,5.1553, N/A,5.1534,5.1553,5.1531
