Date, Close/Last, Volume, Open, High, Low
2020-09-14,3383.54, --,3363.56,3402.93,3363.56
2020-09-11,3340.97, --,3352.7,3368.95,3310.47
2020-09-10,3339.19, --,3412.56,3425.55,3329.25
2020-09-09,3398.96, --,3369.82,3424.77,3366.84
2020-09-08,3331.84, --,3371.88,3379.97,3329.27
2020-09-04,3426.96, --,3453.6,3479.15,3349.63
2020-09-03,3455.06, --,3564.74,3564.85,3427.41
2020-09-02,3580.84, --,3543.76,3588.11,3535.23
2020-09-01,3526.65, --,3507.44,3528.03,3494.6
2020-08-31,3500.31, --,3509.73,3514.77,3493.25
2020-08-28,3508.01, --,3494.69,3509.23,3484.32
2020-08-27,3484.55, --,3485.14,3501.38,3468.35
2020-08-26,3478.73, --,3449.97,3481.07,3444.15
2020-08-25,3443.62, --,3435.95,3444.21,3425.84
2020-08-24,3431.28, --,3418.09,3432.09,3413.13
2020-08-21,3397.16, --,3386.01,3399.96,3379.31
2020-08-20,3385.51, --,3360.48,3390.8,3354.69
2020-08-19,3374.85, --,3392.51,3399.54,3369.66
2020-08-18,3389.78, --,3387.04,3395.06,3370.15
2020-08-17,3381.99, --,3380.86,3387.59,3379.22
2020-08-14,3372.85, --,3368.66,3378.51,3361.64
2020-08-13,3373.43, --,3372.95,3387.24,3363.35
2020-08-12,3380.35, --,3355.46,3387.89,3355.46
2020-08-11,3333.69, --,3370.34,3381.01,3326.44
2020-08-10,3360.47, --,3356.04,3363.29,3335.44
2020-08-07,3351.28, --,3340.05,3352.54,3328.72
2020-08-06,3349.16, --,3323.17,3351.03,3318.14
2020-08-05,3327.77, --,3317.37,3330.77,3317.37
2020-08-04,3306.51, --,3296.6,3306.84,3286.37
2020-08-03,3294.61, --,3288.26,3302.73,3284.53
2020-07-31,3271.12, --,3270.45,3272.17,3220.26
2020-07-30,3246.22, --,3231.76,3250.92,3204.13
2020-07-29,3258.44, --,3227.22,3264.74,3227.22
2020-07-28,3218.44, --,3234.27,3243.72,3216.17
2020-07-27,3239.41, --,3219.84,3241.43,3214.25
2020-07-24,3215.63, --,3218.58,3227.26,3200.05
2020-07-23,3235.66, --,3271.64,3279.99,3222.66
2020-07-22,3276.02, --,3254.86,3279.32,3253.1
2020-07-21,3257.3, --,3268.52,3277.29,3247.77
2020-07-20,3251.84, --,3224.29,3258.61,3215.16
2020-07-17,3224.73, --,3224.21,3233.52,3205.65
2020-07-16,3215.57, --,3208.36,3220.39,3198.59
2020-07-15,3226.56, --,3225.98,3238.28,3200.76
2020-07-14,3197.52, --,3141.11,3200.95,3127.66
2020-07-13,3155.22, --,3205.08,3235.32,3149.43
2020-07-10,3185.04, --,3152.47,3186.82,3136.22
2020-07-09,3152.05, --,3176.17,3179.78,3115.7
2020-07-08,3169.94, --,3153.07,3171.8,3136.53
2020-07-07,3145.32, --,3166.44,3184.15,3142.93
2020-07-06,3179.72, --,3155.29,3182.59,3155.29
2020-07-02,3130.01, --,3143.64,3165.81,3124.52
2020-07-01,3115.86, --,3105.92,3128.44,3101.17
2020-06-30,3100.29, --,3050.2,3111.51,3047.83
2020-06-29,3053.24, --,3018.59,3053.89,2999.74
2020-06-26,3009.05, --,3073.2,3073.73,3004.63
2020-06-25,3083.76, --,3046.6,3086.25,3024.01
2020-06-24,3050.33, --,3114.4,3115.01,3032.13
2020-06-23,3131.29, --,3138.7,3154.9,3127.12
2020-06-22,3117.86, --,3094.42,3120.92,3079.39
2020-06-19,3097.74, --,3140.29,3155.53,3083.11
2020-06-18,3115.34, --,3101.64,3120.0,3093.51
2020-06-17,3113.49, --,3136.13,3141.16,3108.03
2020-06-16,3124.74, --,3131.0,3153.45,3076.06
2020-06-15,3066.59, --,2993.76,3079.76,2965.66
2020-06-12,3041.31, --,3071.04,3088.42,2984.47
2020-06-11,3002.1, --,3123.53,3123.53,2999.49
2020-06-10,3190.14, --,3213.42,3223.27,3181.49
2020-06-09,3207.18, --,3213.32,3222.71,3193.11
2020-06-08,3232.39, --,3199.92,3233.13,3196.0
2020-06-05,3193.93, --,3163.84,3211.72,3163.84
2020-06-04,3112.35, --,3111.56,3128.91,3090.41
2020-06-03,3122.87, --,3098.9,3130.94,3098.9
2020-06-02,3080.82, --,3064.78,3081.07,3051.64
2020-06-01,3055.73, --,3038.78,3062.18,3031.54
2020-05-29,3044.31, --,3025.17,3049.17,2998.61
2020-05-28,3029.73, --,3046.61,3068.67,3023.4
2020-05-27,3036.13, --,3015.65,3036.25,2969.75
2020-05-26,2991.77, --,3004.08,3021.72,2988.17
2020-05-22,2955.45, --,2948.05,2956.76,2933.59
2020-05-21,2948.51, --,2969.95,2978.5,2938.57
2020-05-20,2971.61, --,2953.63,2980.29,2953.63
2020-05-19,2922.94, --,2948.59,2964.21,2922.35
2020-05-18,2953.91, --,2913.86,2968.09,2913.86
2020-05-15,2863.7, --,2829.95,2865.01,2816.78
2020-05-14,2852.5, --,2794.54,2852.8,2766.64
2020-05-13,2820.0, --,2865.86,2874.14,2793.15
2020-05-12,2870.12, --,2939.5,2945.82,2869.59
2020-05-11,2930.32, --,2915.46,2944.25,2903.44
2020-05-08,2929.8, --,2908.83,2932.16,2902.88
2020-05-07,2881.19, --,2878.26,2901.92,2876.48
2020-05-06,2848.42, --,2883.14,2891.11,2847.65
2020-05-05,2868.44, --,2868.88,2898.23,2863.55
2020-05-04,2842.74, --,2815.01,2844.24,2797.85
2020-05-01,2830.71, --,2869.09,2869.09,2821.61
2020-04-30,2912.43, --,2930.91,2930.91,2892.47
2020-04-29,2939.51, --,2918.46,2954.86,2912.16
2020-04-28,2863.39, --,2909.96,2921.15,2860.71
2020-04-27,2878.48, --,2854.65,2887.72,2852.89
2020-04-24,2836.74, --,2812.64,2842.71,2791.76
2020-04-23,2797.8, --,2810.42,2844.9,2794.26
2020-04-22,2799.31, --,2787.89,2815.1,2775.95
2020-04-21,2736.56, --,2784.81,2785.54,2727.1
2020-04-20,2823.16, --,2845.62,2868.98,2820.43
2020-04-17,2874.56, --,2842.43,2879.22,2830.88
2020-04-16,2799.55, --,2799.34,2806.51,2764.32
2020-04-15,2783.36, --,2795.64,2801.88,2761.54
2020-04-14,2846.06, --,2805.1,2851.85,2805.1
2020-04-13,2761.63, --,2782.46,2782.46,2721.17
2020-04-09,2789.82, --,2776.99,2818.57,2762.36
2020-04-08,2749.98, --,2685.0,2760.75,2663.3
2020-04-07,2659.41, --,2738.65,2756.89,2657.67
2020-04-06,2663.68, --,2578.28,2676.85,2574.57
2020-04-03,2488.65, --,2514.92,2538.18,2459.96
2020-04-02,2526.9, --,2458.54,2533.22,2455.79
2020-04-01,2470.5, --,2498.08,2522.75,2447.49
2020-03-31,2584.59, --,2614.69,2641.39,2571.15
2020-03-30,2626.65, --,2558.98,2631.8,2545.28
2020-03-27,2541.47, --,2555.87,2615.91,2520.02
2020-03-26,2630.07, --,2501.29,2637.01,2500.72
2020-03-25,2475.56, --,2457.77,2571.42,2407.53
2020-03-24,2447.33, --,2344.44,2449.71,2344.44
2020-03-23,2237.4, --,2290.71,2300.73,2191.86
2020-03-20,2304.92, --,2431.94,2453.01,2295.56
2020-03-19,2409.39, --,2393.48,2466.97,2319.78
2020-03-18,2398.1, --,2436.5,2453.57,2280.52
2020-03-17,2529.19, --,2425.66,2553.93,2367.04
2020-03-16,2386.13, --,2508.59,2562.98,2380.94
2020-03-13,2711.02, --,2569.99,2711.33,2492.37
2020-03-12,2480.64, --,2630.86,2660.95,2478.86
2020-03-11,2741.38, --,2825.6,2825.6,2707.22
2020-03-10,2882.23, --,2813.48,2882.59,2734.0
2020-03-09,2746.56, --,2863.89,2863.89,2734.43
2020-03-06,2972.37, --,2954.2,2985.93,2901.54
2020-03-05,3023.94, --,3075.7,3083.04,2999.83
2020-03-04,3130.12, --,3045.75,3130.97,3034.38
2020-03-03,3003.37, --,3096.46,3136.72,2976.63
2020-03-02,3090.23, --,2974.28,3090.96,2945.19
2020-02-28,2954.22, --,2916.9,2959.72,2855.84
2020-02-27,2978.76, --,3062.54,3097.07,2977.39
2020-02-26,3116.39, --,3139.9,3182.51,3108.99
2020-02-25,3128.21, --,3238.94,3246.99,3118.77
2020-02-24,3225.89, --,3257.61,3259.81,3214.65
2020-02-21,3337.75, --,3360.5,3360.76,3328.45
2020-02-20,3373.23, --,3380.45,3389.15,3341.02
2020-02-19,3386.15, --,3380.39,3393.52,3378.83
2020-02-18,3370.29, --,3369.04,3375.01,3355.61
2020-02-14,3380.16, --,3378.08,3380.69,3366.15
2020-02-13,3373.94, --,3365.9,3385.09,3360.52
2020-02-12,3379.45, --,3370.5,3381.47,3369.72
2020-02-11,3357.75, --,3365.87,3375.63,3352.72
