Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
TXG,"10x Genomics, Inc.",121.89,12720305102.1,,2019.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/txg,
YI,"111, Inc.",5.9,150519230.6,25511734.0,2018.0,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/yi,
PIH,"1347 Property Insurance Holdings, Inc.",3.97,24090380.82,,2014.0,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pih,
PIHPP,"1347 Property Insurance Holdings, Inc.",24.9999,0.0,,,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pihpp,
TURN,180 Degree Capital Corp.,1.9702,61315701.4524,,,Finance,Finance/Investors Services,https://old.nasdaq.com/symbol/turn,
FLWS,"1-800-FLOWERS.COM, Inc.",23.04,1484036812.8,,1999.0,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/flws,
GOED,1847 Goedeker Inc.,7.0,42778400.0,,2020.0,Consumer Services,Home Furnishings,https://old.nasdaq.com/symbol/goed,
BCOW,"1895 Bancorp of Wisconsin, Inc.",9.7,47303766.9,,2019.0,Finance,Banks,https://old.nasdaq.com/symbol/bcow,
ONEM,"1Life Healthcare, Inc.",28.1,3547140724.6,,2020.0,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/onem,
FCCY,1st Constitution Bancorp (NJ),12.4,126672820.0,,,Finance,Savings Institutions,https://old.nasdaq.com/symbol/fccy,
SRCE,1st Source Corporation,32.15,821444234.75,,,Finance,Major Banks,https://old.nasdaq.com/symbol/srce,
VNET,"21Vianet Group, Inc.",21.14,1602902236.6,75823190.0,2011.0,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/vnet,
XXII,"22nd Century Group, Inc",0.57,79146890.01,,,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/xxii,
TWOU,"2U, Inc.",32.65,2102781196.8,,2014.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/twou,
QFIN,"360 DigiTech, Inc.",11.9,1199625017.5,100808825.0,2018.0,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/qfin,
KRKR,36Kr Holdings Inc.,2.69,6750501.2,2509480.0,2019.0,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/krkr,
DDD,3D Systems Corporation,5.32,644438753.28,,,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ddd,
MMM,3M Company,169.55,97664096391.1,,,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/mmm,
WBAI,500.com Limited,3.26,140184854.14,,2013.0,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/wbai,
JOBS,"51job, Inc.",79.2,3123872215.2,39442831.0,2004.0,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/jobs,
ETNB,"89bio, Inc.",25.53,430278841.56,,2019.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/etnb,
JFK,8i Enterprises Acquisition Corp,9.1,67590250.0,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/jfk,
JFKKR,8i Enterprises Acquisition Corp,0.85,0.0,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/jfkkr,
JFKKU,8i Enterprises Acquisition Corp,10.5,0.0,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/jfkku,
JFKKW,8i Enterprises Acquisition Corp,1.31,0.0,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/jfkkw,
EGHT,8x8 Inc,15.33,1597910929.86,,,Technology,EDP Services,https://old.nasdaq.com/symbol/eght,
EGHT,8x8 Inc,15.33,1597910929.86,,,Technology,EDP Services,https://old.nasdaq.com/symbol/eght,
NMTR,"9 Meters Biopharma, Inc.",0.6698,93057835.1272,,2018.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/nmtr,
JFU,9F Inc.,0.9,42930540.0,47700600.0,2019.0,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/jfu,
AHC,A.H. Belo Corporation,1.42,33908898.52,,,Consumer Services,Newspapers/Magazines,https://old.nasdaq.com/symbol/ahc,
AOS,A.O Smith Corporation,53.24,8593640471.68,,,Consumer Durables,Consumer Electronics/Appliances,https://old.nasdaq.com/symbol/aos,
ATEN,"A10 Networks, Inc.",7.28,567322370.16,,2014.0,Technology,Computer Communications Equipment,https://old.nasdaq.com/symbol/aten,
AAON,"AAON, Inc.",57.27,2993026184.52,,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aaon,
AIR,AAR Corp.,19.83,700067631.63,,,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/air,
AAN,"Aaron&#39;s,  Inc.",56.18,3771956604.62,,,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/aan,
ABB,ABB Ltd,25.86,55039643079.72,,,Consumer Durables,Electrical Products,https://old.nasdaq.com/symbol/abb,
ABT,Abbott Laboratories,106.86,189198835693.14,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abt,
