Date,Bitcoin
2019-09-15,10337
2019-09-16,10289.9
2019-09-17,10221.75
2019-09-18,10194
2019-09-19,10208.2
2019-09-20,10183.85
2019-09-21,10032.35
2019-09-22,9954.15
2019-09-23,9847.4
2019-09-24,9208.55
2019-09-25,8529.95
2019-09-26,8178.2
2019-09-27,8073.75
2019-09-28,8168.3
2019-09-29,8086.65
2019-09-30,8149.05
2019-10-01,8281.5
2019-10-02,8315.55
2019-10-03,8239.5
2019-10-04,8125.6
2019-10-05,8103.05
2019-10-06,8052.9
2019-10-07,8058.4
2019-10-08,8223.5
2019-10-09,8349.05
2019-10-10,8523.25
2019-10-11,8409.95
2019-10-12,8332.35
2019-10-13,8320.1
2019-10-14,8311.5
2019-10-15,8251.15
2019-10-16,8077.45
2019-10-17,8038.85
2019-10-18,8008
2019-10-19,7919.75
2019-10-20,8063.85
2019-10-21,8197.3
2019-10-22,8102.3
2019-10-23,7743.4
2019-10-24,7447.2
2019-10-25,8010.05
2019-10-26,9611.45
2019-10-27,9435.85
2019-10-28,9487.65
2019-10-29,9322.8
2019-10-30,9249.6
2019-10-31,9133.95
2019-11-01,9172.05
2019-11-02,9279.95
2019-11-03,9265.85
2019-11-04,9292.7
2019-11-05,9375.55
2019-11-06,9302.2
2019-11-07,9276.3
2019-11-08,9036.6
2019-11-09,8797.55
2019-11-10,8907.5
2019-11-11,8908.6
2019-11-12,8751.85
2019-11-13,8756.65
2019-11-14,8664.4
2019-11-15,8519.75
2019-11-16,8494.2
2019-11-17,8475.65
2019-11-18,8335.65
2019-11-19,8191.45
2019-11-20,8135.6
2019-11-21,7876.9
2019-11-22,7443.85
2019-11-23,7247.75
2019-11-24,7012.5
2019-11-25,6950.65
2019-11-26,7147.85
2019-11-27,7295
2019-11-28,7482.35
2019-11-29,7608.3
2019-11-30,7546.2
2019-12-01,7350.9
2019-12-02,7342.05
2019-12-03,7232.85
2019-12-04,7189.45
2019-12-05,7305.25
2019-12-06,7487.1
2019-12-07,7504.65
2019-12-08,7481.75
2019-12-09,7450.7
2019-12-10,7311.9
2019-12-11,7199.15
2019-12-12,7206
2019-12-13,7247.2
2019-12-14,7166.25
2019-12-15,7071.65
2019-12-16,6987.75
2019-12-17,6788.15
2019-12-18,6916.3
2019-12-19,7154.45
2019-12-20,7157.2
2019-12-21,7158.9
2019-12-22,7361.85
2019-12-23,7448.4
2019-12-24,7297.3
2019-12-25,7227.95
2019-12-26,7205
2019-12-27,7308.65
2019-12-28,7330.2
2019-12-29,7369.3
2019-12-30,7327.05
2019-12-31,7237.7
2020-01-01,7181.8
2020-01-02,7168.75
2020-01-03,7270.55
2020-01-04,7407.1
2020-01-05,7507.1
2020-01-06,7686.95
2020-01-07,8088.15
2020-01-08,8159.15
2020-01-09,7891.7
2020-01-10,7971.55
2020-01-11,8097.7
2020-01-12,8102.45
2020-01-13,8336.95
2020-01-14,8593.9
2020-01-15,8642.75
2020-01-16,8726.5
2020-01-17,8834.6
2020-01-18,8992.2
2020-01-19,8901.35
2020-01-20,8665.55
2020-01-21,8701.2
2020-01-22,8661.4
2020-01-23,8447.4
2020-01-24,8308.9
2020-01-25,8339.45
2020-01-26,8500.55
2020-01-27,8858.95
2020-01-28,9193.15
2020-01-29,9330.6
2020-01-30,9369.35
2020-01-31,9413.1
2020-02-01,9359.5
2020-02-02,9355.45
2020-02-03,9332.3
2020-02-04,9253.6
2020-02-05,9433.3
2020-02-06,9724.9
2020-02-07,9779.05
2020-02-08,9925.85
2020-02-09,10077.3
2020-02-10,9895.75
2020-02-11,10020.7
2020-02-12,10332.4
2020-02-13,10314.4
2020-02-14,10249.55
2020-02-15,10135.6
2020-02-16,9885.9
2020-02-17,9779.6
2020-02-18,9957.4
2020-02-19,9845.05
