Date,UNRATE
01-01-2010,9.8
02-01-2010,9.8
03-01-2010,9.9
04-01-2010,9.9
05-01-2010,9.6
06-01-2010,9.4
07-01-2010,9.4
08-01-2010,9.5
09-01-2010,9.5
10-01-2010,9.4
11-01-2010,9.8
12-01-2010,9.3
01-01-2011,9.1
02-01-2011,9
03-01-2011,9
04-01-2011,9.1
05-01-2011,9
06-01-2011,9.1
07-01-2011,9
08-01-2011,9
09-01-2011,9
10-01-2011,8.8
11-01-2011,8.6
12-01-2011,8.5
01-01-2012,8.3
02-01-2012,8.3
03-01-2012,8.2
04-01-2012,8.2
05-01-2012,8.2
06-01-2012,8.2
07-01-2012,8.2
08-01-2012,8.1
09-01-2012,7.8
10-01-2012,7.8
11-01-2012,7.7
12-01-2012,7.9
01-01-2013,8
02-01-2013,7.7
03-01-2013,7.5
04-01-2013,7.6
05-01-2013,7.5
06-01-2013,7.5
07-01-2013,7.3
08-01-2013,7.2
09-01-2013,7.2
10-01-2013,7.2
11-01-2013,6.9
12-01-2013,6.7
01-01-2014,6.6
02-01-2014,6.7
03-01-2014,6.7
04-01-2014,6.2
05-01-2014,6.3
06-01-2014,6.1
07-01-2014,6.2
08-01-2014,6.1
09-01-2014,5.9
10-01-2014,5.7
11-01-2014,5.8
12-01-2014,5.6
01-01-2015,5.7
02-01-2015,5.5
03-01-2015,5.4
04-01-2015,5.4
05-01-2015,5.6
06-01-2015,5.3
07-01-2015,5.2
08-01-2015,5.1
09-01-2015,5
10-01-2015,5
11-01-2015,5.1
12-01-2015,5
01-01-2016,4.9
02-01-2016,4.9
03-01-2016,5
04-01-2016,5
05-01-2016,4.8
06-01-2016,4.9
07-01-2016,4.8
08-01-2016,4.9
09-01-2016,5
10-01-2016,4.9
11-01-2016,4.7
12-01-2016,4.7
01-01-2017,4.7
02-01-2017,4.6
03-01-2017,4.4
04-01-2017,4.4
05-01-2017,4.4
06-01-2017,4.3
07-01-2017,4.3
08-01-2017,4.4
09-01-2017,4.2
10-01-2017,4.1
11-01-2017,4.2
12-01-2017,4.1
01-01-2018,4.1
02-01-2018,4.1
03-01-2018,4
04-01-2018,4
05-01-2018,3.8
06-01-2018,4
07-01-2018,3.8
08-01-2018,3.8
09-01-2018,3.7
10-01-2018,3.8
11-01-2018,3.7
12-01-2018,3.9
01-01-2019,4
02-01-2019,3.8
03-01-2019,3.8
04-01-2019,3.6
05-01-2019,3.6
06-01-2019,3.7
07-01-2019,3.7
08-01-2019,3.7
09-01-2019,3.5
10-01-2019,3.6
11-01-2019,3.5
12-01-2019,3.5
01-01-2020,3.6
02-01-2020,3.5
03-01-2020,4.4
04-01-2020,14.7
05-01-2020,13.3
06-01-2020,11.1
07-01-2020,10.2
08-01-2020,8.4
